0;103;1986;3842;nan;7658;9428;11642;
3;108;1956;3844;6723;7675;9441;11644;
2;105;1940;3850;6777;7686;9440;11652;
2;104;1931;3857;6742;7689;9428;11645;
1;94;1939;3859;nan;7673;9422;11644;
1;87;1940;3856;nan;7659;9419;11641;
4;87;1941;3849;6724;7654;9417;11635;
6;90;1935;3843;6588;7644;9415;11629;
9;91;1925;3835;6497;7636;9403;11627;
12;95;1905;3828;nan;7629;9394;11622;
20;96;1890;3825;nan;7621;9382;11606;
32;99;1877;3814;6428;7607;9367;11588;
37;108;1850;3801;6370;7591;9353;11559;
37;110;1820;3786;nan;7576;9338;11538;
54;123;1788;3767;nan;7568;9316;11510;
66;132;1762;3749;6346;7562;9295;11487;
95;143;1740;3735;6306;7553;9270;11468;
121;152;1709;3716;6222;nan;9252;11447;
159;166;1691;3703;6140;nan;9239;11422;
183;186;1687;3690;6086;nan;nan;11395;
209;202;1666;3666;6037;7533;9220;11375;
266;219;1645;3646;6060;nan;9197;11353;
298;240;1626;3625;6093;nan;9175;11339;
345;264;1618;3603;6074;7507;9155;11318;
369;281;1599;3581;6052;nan;9135;11306;
426;305;1577;nan;nan;nan;9118;11285;
444;318;1549;3605;nan;7476;9099;11262;
484;336;1525;3613;6035;nan;9080;11241;
502;362;1497;3610;nan;nan;9052;11213;
522;373;1463;3607;5999;7436;9028;11190;
562;398;1433;3580;5964;7399;9006;11170;
562;427;1413;3601;5941;7358;8986;11151;
585;447;1399;3596;5887;7314;8961;11128;
597;474;1370;3593;5840;7276;8933;11109;
634;504;1342;3583;5774;7237;8910;11082;
624;534;1316;3568;5698;7190;8889;11058;
643;570;1289;3504;5687;7157;8867;11034;
642;604;1264;3458;5689;7129;8848;11009;
657;625;1240;3420;5637;7105;8829;10988;
681;657;1217;3389;5619;7088;8804;10965;
685;686;1184;3375;5616;7070;8785;10939;
692;696;1150;3312;5577;7053;8759;10919;
719;724;1115;3278;5547;7035;8740;10896;
756;743;1094;3240;5484;7011;8723;10869;
764;761;1078;nan;5447;6990;8703;10846;
797;778;1046;3211;5397;6974;8682;10824;
819;793;1020;3198;5316;6957;8661;10800;
863;806;1027;3190;5233;6936;8639;10776;
898;828;995;3169;5179;6916;8610;10755;
979;851;981;3150;5126;6899;8591;10736;
1004;875;959;3118;5064;6879;8567;10712;
1030;899;nan;3089;5009;6853;8548;10685;
1045;909;928;3069;4961;6836;8522;10665;
1059;935;909;3043;4940;6825;8493;10643;
1074;962;884;3022;4896;6797;8468;10626;
1091;979;852;3002;4869;6766;8442;10605;
nan;1003;840;2972;4860;nan;8415;10590;
1167;1031;813;2938;4847;nan;8388;10572;
1215;1055;762;2914;4831;6745;8365;10551;
1234;1071;749;2891;4820;6730;8342;10528;
1213;1089;713;2864;4797;6713;8313;10513;
1234;1113;697;2838;4784;6701;8285;10493;
1264;1145;678;2809;4777;6677;8264;10470;
1290;1172;649;2785;4757;6652;8242;10449;
1309;1194;627;2760;4734;6622;8213;10424;
1347;1218;604;2726;4712;6602;8191;10401;
1371;1236;577;2698;4687;6585;8164;10373;
1348;1260;559;2668;4664;6566;8140;10352;
1386;1275;538;2633;4637;6542;8118;10327;
1483;1298;514;2606;4600;6513;8087;10300;
1510;1367;480;2586;4575;6479;8069;10278;
1561;1406;450;2566;4550;6434;8045;10256;
1594;1416;427;2548;4517;6400;8021;10233;
1635;1431;411;2529;4488;6367;7994;10211;
1656;1475;379;2506;4463;nan;7981;10186;
1687;1512;360;2489;4435;6336;7957;10162;
1730;1550;332;2463;4409;6282;7934;10140;
1774;1583;304;2446;4372;6240;7915;10112;
1743;1619;273;2429;4344;6202;7895;10090;
1699;1651;241;2397;4324;6163;7876;10066;
1707;1634;232;2377;4300;6117;7851;10043;
1738;1650;211;2356;4275;6077;7833;10016;
1766;1686;189;2329;4249;6047;7812;9992;
1784;1714;165;2305;4228;6013;7795;nan;
1837;1719;148;2274;4204;5986;7771;9963;
1856;1733;127;2246;4182;5958;7753;9937;
1884;1754;108;2230;4157;5934;7735;9906;
1896;1772;94;2203;4142;5907;7705;9872;
1938;1803;85;2185;4125;5882;7682;9842;
1963;1831;78;2170;4098;5857;7661;9816;
nan;1856;71;2146;4070;5842;7636;9790;
2017;1886;66;2115;4043;5816;7614;9757;
2029;1913;65;2086;4020;5782;7591;9730;
2066;1941;69;2061;3992;5761;7571;9704;
2116;1982;63;2043;3973;5741;7536;9681;
2134;2020;70;2017;3952;5713;7505;9659;
2184;nan;78;1989;3936;5688;7481;9637;
2292;2061;87;1965;3916;5662;7464;9617;
2349;2102;111;1933;3899;5635;7439;9593;
nan;2128;135;1904;3888;5600;7413;9568;
2397;2151;158;1875;3865;5573;nan;9542;
2441;2183;191;1853;3840;5548;7387;9519;
2476;2209;258;1829;3820;5527;7354;9492;
2519;2235;286;1803;3817;5494;7322;9462;
2550;2262;350;1776;3835;5464;7282;9436;
2633;2281;380;1747;3831;5437;7257;9405;
2687;2302;445;1716;3861;5414;7231;9379;
2737;2319;491;1691;3889;5387;7197;9351;
2719;2336;519;1656;nan;5359;7164;9328;
2741;2360;556;1626;3858;5338;7135;9300;
2767;2383;581;1596;3851;5314;7100;9277;
2821;2406;603;1569;3891;5291;7075;9254;
2861;2431;606;1547;nan;5266;7053;9230;
nan;2458;636;1516;3903;5244;7033;9205;
2954;2479;643;1488;3901;5217;7011;9181;
nan;2500;693;1464;3863;5189;6990;9156;
nan;2526;683;1440;3793;5157;6965;9129;
2983;2549;703;1411;3749;5133;6948;9105;
nan;2573;732;1396;3685;5111;6924;9078;
2965;2595;763;1384;3628;5081;6907;9055;
2995;2629;843;1355;3635;5052;6902;9029;
3019;2658;889;1331;3680;5028;6900;8999;
nan;2687;898;1293;3609;4999;6869;8971;
nan;2717;938;1264;3559;4969;6946;8944;
3047;2749;984;1232;nan;4940;6922;8915;
3055;2783;1010;1204;3540;4910;6904;8890;
3105;2816;1075;1174;3518;4885;6878;8861;
3126;2843;1098;1148;3488;4855;6849;8826;
3165;2871;1153;1113;3468;4828;6826;8795;
3135;2901;1182;1073;3419;4800;6798;8767;
3156;2932;1191;1042;3371;4770;6768;8739;
3187;2960;1211;1004;3287;4744;6827;8714;
3216;2991;1245;986;3164;4721;6849;8688;
3238;3025;1262;962;3099;4695;6801;8667;
nan;3052;1277;939;3067;4673;6836;8634;
3253;3073;1283;901;3016;4648;6809;8609;
nan;3107;1274;860;2971;4620;6794;8579;
nan;3139;1305;832;2951;4593;6777;8559;
3303;3162;1315;808;2900;4563;6755;8532;
nan;3210;1331;780;2880;4533;6726;8503;
nan;3232;1390;760;2844;4500;6703;8479;
nan;3274;1425;738;2848;4465;6568;8445;
3343;3303;1444;708;2825;4430;6495;8423;
3376;3344;1470;675;2827;4396;6383;8394;
3431;3369;1481;640;2784;4364;6295;8379;
3537;3426;1508;626;2773;nan;6265;8355;
nan;3445;1546;603;2784;4334;6234;8336;
nan;3468;1573;580;nan;4303;6203;nan;
nan;3504;1586;547;2736;4278;6172;8311;
nan;3513;1601;531;2703;4254;6139;8292;
nan;3533;1573;505;2653;4229;6107;8274;
3600;3533;1592;490;2608;4202;6081;8249;
nan;3551;1634;467;2588;4182;6058;8234;
3646;3549;1692;447;2542;4155;6034;8219;
3702;3579;1729;412;2503;4138;6012;8197;
nan;3573;1758;384;2470;4115;nan;nan;
3753;3595;1780;358;2407;4086;5986;8176;
3811;3617;1805;327;2356;4066;nan;8163;
3865;3639;1826;314;2321;4036;nan;nan;
3875;3659;1863;292;2284;4002;nan;8160;
3913;3688;1885;265;2263;3975;5932;8149;
3922;3711;1901;228;2233;3950;nan;nan;
nan;3737;1915;206;2176;3917;5879;nan;
3909;3775;1904;189;2155;3896;5832;nan;
3949;3794;1924;174;2109;3868;5797;nan;
nan;3811;1946;155;nan;3841;5750;8112;
3981;3833;1974;147;2077;3824;5716;nan;
4017;3857;2001;136;2052;3809;5673;nan;
4052;3882;2024;123;1996;3794;5631;nan;
nan;3914;2053;100;1971;3777;5581;nan;
4081;3935;2085;95;1956;3764;5532;8074;
4104;3966;2118;98;1927;3749;5504;nan;
4133;3996;2150;97;1902;3742;5478;nan;
4159;4015;nan;103;1875;3719;5454;nan;
4183;4045;nan;122;1839;3706;5421;nan;
4184;4082;2199;138;1855;3692;5392;nan;
4193;4114;2238;154;1833;3673;5357;nan;
4200;4143;2282;178;1804;3656;5323;nan;
4198;4167;2313;195;nan;3625;5294;nan;
4209;4187;2351;223;1786;3603;5261;nan;
4219;4213;2392;239;1763;3572;5233;nan;
4244;4239;2423;264;1718;3540;5199;nan;
4268;4259;2442;311;1678;3497;5172;8158;
4291;4276;2471;343;1640;3457;5143;8089;
4315;4302;2505;372;1614;3417;5113;nan;
4346;4330;2515;400;1598;3380;5085;8153;
4374;4354;2544;433;1538;3341;5051;8172;
4413;4378;2566;459;1516;3297;5021;8079;
4447;4409;2594;494;1480;3265;4994;nan;
4478;nan;2617;519;1455;nan;4970;nan;
4507;4439;2642;562;1417;3224;4945;nan;
4539;4477;2661;593;1398;3197;4924;nan;
4573;4512;2689;605;1369;3168;4897;7976;
4596;4549;2708;631;1347;3142;4870;7889;
4621;4590;2731;660;1301;3118;4838;7836;
4646;4622;2763;698;1273;3090;4804;nan;
4668;4649;2791;728;1249;3060;4778;nan;
nan;4675;2820;756;1236;3030;4749;nan;
4694;4710;2851;782;1215;2997;4723;nan;
4722;4741;2885;817;1178;2971;4691;nan;
4749;4781;2921;837;1159;2943;4660;7727;
4777;4805;2963;879;1148;2910;4630;7635;
4794;4830;3001;907;1136;2877;4603;nan;
4812;4858;3045;940;1112;2844;4575;7399;
4839;4883;3076;969;1131;2812;4549;7321;
4874;4915;3112;991;1132;2777;4525;7101;
4910;4949;3143;1016;1090;2742;4501;6936;
4948;4984;3170;1053;1047;2718;4474;6878;
nan;5012;3208;1082;1021;2689;4440;6824;
4978;5040;nan;1109;992;2660;4413;6737;
5014;5062;3250;1145;970;2636;4384;6636;
5040;5094;nan;1151;923;2607;4354;6610;
5067;5127;nan;1164;948;2589;4328;6566;
nan;5158;3305;1179;925;2559;4298;6545;
nan;5187;3360;1193;869;2538;4269;6518;
nan;5216;nan;1216;794;2524;4241;nan;
nan;5245;3434;1240;792;2508;4212;6483;
5120;5273;nan;1254;750;2492;4186;6449;
nan;5305;nan;1278;703;2477;4163;nan;
nan;5337;nan;1320;680;2454;4141;nan;
nan;5371;nan;1338;647;2428;4118;nan;
nan;5404;3490;1368;613;2396;4092;6411;
5173;5432;3559;1417;529;2363;4059;nan;
nan;5456;3634;1444;491;2339;4033;nan;
nan;5490;3705;1481;454;2311;4005;nan;
nan;5524;nan;1521;425;2266;3976;nan;
nan;5553;3776;1546;371;2223;3950;nan;
nan;5583;3844;1570;343;2175;3924;nan;
nan;5613;3905;1603;317;2141;3896;nan;
nan;5638;3926;1615;281;2105;3866;6372;
nan;5658;3934;1643;247;2063;3837;nan;
