0;10000;20000;
0;0;0;
nan;8280;nan;2016-04-19 17:56:24.341000
nan;8286;nan;2016-04-19 17:56:24.450000
nan;8276;nan;2016-04-19 17:56:24.560000
nan;8301;nan;2016-04-19 17:56:24.654000
nan;8293;nan;2016-04-19 17:56:24.747000
nan;8274;nan;2016-04-19 17:56:24.841000
nan;8271;nan;2016-04-19 17:56:24.935000
nan;8270;nan;2016-04-19 17:56:25.044000
nan;8298;nan;2016-04-19 17:56:25.154000
nan;8267;nan;2016-04-19 17:56:25.263000
nan;8282;nan;2016-04-19 17:56:25.357000
nan;8273;nan;2016-04-19 17:56:25.450000
nan;8265;nan;2016-04-19 17:56:25.544000
nan;8264;nan;2016-04-19 17:56:25.638000
nan;8279;nan;2016-04-19 17:56:25.747000
nan;8332;nan;2016-04-19 17:56:25.857000
nan;nan;nan;2016-04-19 17:56:25.966000
nan;8343;nan;2016-04-19 17:56:26.060000
nan;8367;nan;2016-04-19 17:56:26.154000
nan;8343;nan;2016-04-19 17:56:26.247000
nan;8299;nan;2016-04-19 17:56:26.341000
4213;8338;nan;2016-04-19 17:56:26.450000
nan;8397;nan;2016-04-19 17:56:26.560000
nan;8339;nan;2016-04-19 17:56:26.669000
4169;nan;nan;2016-04-19 17:56:26.779000
4172;nan;nan;2016-04-19 17:56:26.872000
4176;8326;nan;2016-04-19 17:56:26.966000
nan;nan;nan;2016-04-19 17:56:27.076000
nan;8345;nan;2016-04-19 17:56:27.185000
nan;nan;nan;2016-04-19 17:56:27.294000
nan;nan;nan;2016-04-19 17:56:27.404000
nan;nan;nan;2016-04-19 17:56:27.497000
nan;nan;nan;2016-04-19 17:56:27.607000
nan;nan;nan;2016-04-19 17:56:27.700000
4223;nan;nan;2016-04-19 17:56:27.810000
4276;nan;nan;2016-04-19 17:56:27.919000
4281;nan;nan;2016-04-19 17:56:28.029000
4298;nan;nan;2016-04-19 17:56:28.138000
4261;nan;nan;2016-04-19 17:56:28.232000
4266;8448;nan;2016-04-19 17:56:28.326000
nan;nan;nan;2016-04-19 17:56:28.419000
4334;nan;nan;2016-04-19 17:56:28.544000
4361;nan;nan;2016-04-19 17:56:28.654000
4388;nan;nan;2016-04-19 17:56:28.763000
nan;nan;nan;2016-04-19 17:56:28.857000
nan;nan;nan;2016-04-19 17:56:28.951000
nan;nan;nan;2016-04-19 17:56:29.044000
nan;nan;nan;2016-04-19 17:56:29.154000
4367;nan;nan;2016-04-19 17:56:29.263000
4412;nan;nan;2016-04-19 17:56:29.372000
4395;nan;nan;2016-04-19 17:56:29.482000
nan;nan;nan;2016-04-19 17:56:29.576000
nan;nan;nan;2016-04-19 17:56:29.669000
nan;8588;nan;2016-04-19 17:56:29.763000
nan;nan;nan;2016-04-19 17:56:29.872000
nan;nan;nan;2016-04-19 17:56:29.982000
nan;nan;nan;2016-04-19 17:56:30.091000
nan;nan;nan;2016-04-19 17:56:30.185000
nan;nan;nan;2016-04-19 17:56:30.279000
nan;nan;nan;2016-04-19 17:56:30.372000
nan;nan;nan;2016-04-19 17:56:30.466000
nan;nan;nan;2016-04-19 17:56:30.576000
4540;nan;nan;2016-04-19 17:56:30.685000
nan;nan;nan;2016-04-19 17:56:30.794000
4574;nan;nan;2016-04-19 17:56:30.904000
nan;nan;nan;2016-04-19 17:56:30.997000
nan;nan;nan;2016-04-19 17:56:31.107000
nan;nan;nan;2016-04-19 17:56:31.216000
nan;nan;nan;2016-04-19 17:56:31.326000
4675;nan;nan;2016-04-19 17:56:31.435000
4613;nan;nan;2016-04-19 17:56:31.544000
nan;nan;nan;2016-04-19 17:56:31.638000
4589;nan;nan;2016-04-19 17:56:31.732000
4650;nan;nan;2016-04-19 17:56:31.826000
4629;nan;nan;2016-04-19 17:56:31.935000
4665;nan;nan;2016-04-19 17:56:32.044000
4616;8577;nan;2016-04-19 17:56:32.154000
nan;nan;nan;2016-04-19 17:56:32.263000
nan;nan;nan;2016-04-19 17:56:32.372000
nan;8583;nan;2016-04-19 17:56:32.466000
4652;nan;nan;2016-04-19 17:56:32.576000
nan;nan;nan;2016-04-19 17:56:32.685000
4668;nan;nan;2016-04-19 17:56:32.794000
4685;nan;nan;2016-04-19 17:56:32.904000
nan;8631;nan;2016-04-19 17:56:32.997000
4690;8644;nan;2016-04-19 17:56:33.091000
4780;8557;nan;2016-04-19 17:56:33.185000
nan;8607;nan;2016-04-19 17:56:33.294000
nan;8647;nan;2016-04-19 17:56:33.404000
nan;nan;nan;2016-04-19 17:56:33.513000
nan;nan;nan;2016-04-19 17:56:33.607000
4897;nan;nan;2016-04-19 17:56:33.716000
4784;nan;nan;2016-04-19 17:56:33.810000
4862;8664;nan;2016-04-19 17:56:33.919000
4905;8604;nan;2016-04-19 17:56:34.029000
4931;8649;nan;2016-04-19 17:56:34.138000
