nan;7643;nan;3937;2316;70;54;nan;
nan;7641;nan;3786;1790;77;173;nan;
nan;7620;nan;3752;2305;56;157;nan;
nan;7635;nan;3779;1574;69;0;nan;
nan;7622;6193;3839;1716;7;0;nan;
nan;7599;nan;3668;1703;0;14;nan;
7676;7597;5769;3804;1844;15;54;nan;
nan;7609;nan;3728;1703;14;6;nan;
7661;7581;nan;3641;1558;1;0;nan;
7575;7492;6271;3593;1511;53;20;nan;
nan;7442;nan;3557;1438;83;70;nan;
7585;7430;nan;3507;1464;108;110;nan;
7510;7421;nan;3486;1435;198;164;nan;
nan;7420;6265;3463;1383;229;171;nan;
nan;7355;nan;3412;nan;260;219;nan;
nan;7270;nan;3360;nan;308;214;nan;
7367;7196;nan;3289;nan;342;299;nan;
7355;7129;nan;3245;nan;423;351;nan;
7228;7085;nan;3225;nan;472;409;nan;
nan;7063;nan;3184;nan;473;468;nan;
nan;7012;nan;3101;nan;557;510;nan;
7206;6952;nan;3047;nan;506;528;nan;
7292;7115;5254;3075;nan;620;563;nan;
7090;6995;5178;3029;nan;675;567;nan;
7092;6822;5114;3011;nan;676;586;nan;
7061;6787;4996;2993;nan;736;733;nan;
7241;6767;4936;2924;nan;858;755;nan;
7485;6875;nan;2783;nan;1350;815;nan;
6994;6697;4915;2728;nan;836;797;nan;
nan;6685;4857;2728;nan;840;857;nan;
6817;6541;4778;2627;nan;1065;1012;nan;
6852;6504;4729;2634;nan;993;1016;nan;
nan;6514;4640;2542;nan;1113;1083;nan;
nan;6442;4555;2552;nan;1231;nan;nan;
6678;6403;nan;2495;nan;1750;nan;nan;
nan;6365;4645;2527;nan;2911;2264;nan;
6455;6322;4505;2407;nan;1416;2298;nan;
6465;6305;nan;2433;nan;2234;2354;nan;
nan;6241;4497;2216;nan;1521;1391;nan;
nan;nan;4379;2324;nan;1460;1309;nan;
nan;6235;4213;2246;nan;1479;1322;nan;
nan;6442;4227;2193;nan;1540;1403;nan;
6657;nan;nan;2029;nan;1620;1425;nan;
6529;6749;4070;2058;nan;1692;1622;nan;
nan;6012;4016;1978;nan;1705;1740;nan;
6326;5955;4023;1999;nan;1817;1716;nan;
nan;nan;3977;1859;nan;1790;1711;nan;
nan;6375;3963;1899;nan;1863;1681;nan;
5763;6252;3938;1699;nan;1942;1853;nan;
5820;5759;3826;1834;nan;1989;1886;nan;
nan;6142;3764;1672;nan;2101;1873;nan;
5719;6301;3759;1652;nan;2026;1958;nan;
5723;5628;3641;1611;nan;2009;2020;nan;
nan;5500;3630;1514;nan;2233;2131;nan;
5509;5567;nan;1448;nan;2216;2102;nan;
5445;5444;3670;1405;nan;2260;2170;nan;
5303;5408;3517;1379;nan;2377;2229;nan;
nan;5396;3379;1383;nan;2305;2215;nan;
nan;5346;3660;1285;nan;2393;2241;nan;
5307;5249;3395;nan;nan;2448;2257;nan;
5270;5125;3309;1205;nan;2490;2375;nan;
5156;5211;nan;1155;nan;2536;2485;nan;
5124;5095;nan;1106;nan;2640;2443;nan;
5066;5036;nan;1011;nan;2670;2576;nan;
5019;4959;3211;1014;nan;2690;2590;nan;
4942;4926;nan;881;nan;2805;2696;nan;
4809;nan;nan;886;nan;2800;2788;nan;
4855;4859;nan;833;nan;2896;2827;nan;
4721;4831;2960;778;nan;2993;2970;nan;
4727;4688;2949;711;nan;3074;2946;nan;
4698;4716;2990;574;nan;3069;2910;nan;
4636;4588;2804;622;nan;3148;3061;nan;
4523;4639;2685;515;nan;3110;3113;nan;
4484;4529;2664;473;nan;3211;3109;nan;
4380;4858;2630;435;nan;nan;3241;nan;
4398;4375;2471;345;nan;3239;3269;nan;
4238;4352;2385;267;nan;3394;3421;nan;
nan;4334;2340;243;nan;3458;3436;nan;
4183;4277;2385;249;nan;3492;3436;nan;
4040;4163;2301;140;nan;3565;3578;nan;
4004;4078;2250;152;nan;3564;3522;nan;
4015;4041;2066;110;nan;3646;3574;nan;
3981;3977;2160;89;nan;3801;3666;nan;
3849;3937;2118;81;nan;3833;3683;nan;
3866;3825;2034;127;nan;3828;3788;nan;
nan;3780;2050;107;nan;3843;3761;nan;
3888;3783;1862;162;nan;3935;3884;nan;
3725;3748;1844;268;nan;3933;3947;nan;
nan;3693;1850;189;nan;3899;3958;nan;
3650;3605;1821;360;nan;4059;4016;nan;
3899;3586;1662;295;nan;4118;4081;nan;
3524;3514;1755;405;nan;4205;4120;nan;
3577;3436;1894;535;nan;4196;4132;nan;
3456;3416;1981;570;nan;4309;4208;nan;
nan;3408;1629;578;nan;4286;4267;nan;
3423;3215;1452;655;nan;4405;4329;nan;
nan;3199;1403;698;nan;4484;4331;nan;
3273;3189;1312;785;nan;4593;4479;nan;
nan;3111;1329;844;nan;4607;4510;nan;
4765;3395;1223;859;nan;4645;4630;nan;
3166;3151;1223;924;nan;4639;4700;nan;
3434;nan;1167;954;nan;4730;4658;nan;
nan;3032;1113;nan;nan;4763;nan;nan;
