5376;3154;2054;383;
5394;3206;2036;366;
5400;3217;2029;367;
5388;3190;nan;362;
5400;3305;2036;354;
5388;nan;1981;428;
5402;3202;1992;430;
nan;3349;2079;444;
5370;3355;1996;421;
nan;3373;1984;376;
nan;3360;2013;367;
nan;nan;2037;469;
5309;3238;2027;453;
5279;3018;2013;476;
nan;3107;1811;426;
nan;3058;2020;396;
5253;3044;1969;404;
5321;2992;1954;432;
5202;2914;nan;524;
5265;3007;1786;nan;
5226;nan;1970;nan;
5301;nan;2006;455;
nan;2905;nan;520;
5257;2817;nan;551;
nan;2742;1935;633;
nan;2761;1878;614;
nan;2727;1691;631;
4992;2751;1745;568;
5033;2639;1748;592;
5052;2687;1662;634;
4997;2623;2083;671;
4958;2618;2001;661;
4963;2590;1686;642;
4957;2577;1602;715;
4924;2535;1576;736;
4863;2516;1663;741;
4898;2562;1616;835;
4793;2551;1428;795;
4807;2466;1517;812;
4799;2423;1590;nan;
4758;2394;1359;901;
4718;2358;1457;nan;
4697;2389;1515;nan;
4682;2321;1334;nan;
4691;2270;1328;nan;
4629;2290;1475;1000;
4630;2267;1289;1049;
4558;2215;1418;1020;
nan;2242;1354;1119;
nan;nan;1300;1147;
5020;2219;1277;nan;
nan;2167;1215;nan;
nan;2183;1283;nan;
nan;2110;1313;nan;
nan;nan;1224;nan;
4497;2101;1133;nan;
4351;2051;1114;nan;
4397;2043;1167;nan;
4371;2020;1217;nan;
nan;2022;1228;1345;
4319;2032;1065;1341;
4241;1979;1032;1364;
4245;2015;1081;nan;
4206;1998;972;nan;
4219;1972;890;nan;
4164;1941;1048;nan;
4071;1871;1060;3272;
4177;1811;1002;nan;
4126;nan;993;nan;
4071;1828;857;3675;
nan;1757;975;3705;
4030;1763;1054;nan;
4042;1709;806;nan;
3964;1762;807;nan;
4018;1590;806;nan;
3996;1690;888;nan;
3917;1620;757;nan;
3909;1612;798;nan;
3873;1587;769;3078;
3835;1574;684;1842;
3838;1576;753;nan;
3868;1562;619;nan;
3824;1502;665;nan;
3719;1570;747;nan;
3769;1532;739;nan;
nan;1478;620;nan;
3715;1419;597;nan;
3796;1351;522;nan;
3751;1382;596;nan;
nan;1327;700;nan;
3682;1366;687;2481;
3587;1334;641;3083;
nan;1279;629;3286;
nan;1182;634;nan;
3643;1223;597;nan;
3609;1200;624;nan;
3567;1143;581;3030;
3561;1177;481;3081;
nan;1214;541;nan;
3532;1083;564;nan;
3523;1093;505;nan;
3490;1021;505;nan;
3451;1020;650;nan;
3420;1036;655;nan;
3282;927;597;nan;
3404;989;545;nan;
3336;981;548;3035;
nan;994;650;nan;
3413;966;739;nan;
3428;1864;1221;2292;
nan;895;nan;
3314;875;607;nan;
3244;801;912;nan;
3301;825;nan;nan;
3334;783;660;2432;
