0;10000;20000;
14575;4881;6424;2016-04-19 17:53:44.449000
14592;4867;6943;2016-04-19 17:53:44.558000
14582;4874;6836;2016-04-19 17:53:44.667000
14548;4812;nan;2016-04-19 17:53:44.777000
14527;nan;nan;2016-04-19 17:53:44.871000
14487;4898;nan;2016-04-19 17:53:44.980000
14495;4841;6583;2016-04-19 17:53:45.089000
14480;4832;6664;2016-04-19 17:53:45.199000
14449;nan;6589;2016-04-19 17:53:45.308000
14453;4800;6492;2016-04-19 17:53:45.417000
14420;4757;nan;2016-04-19 17:53:45.511000
14389;4707;6451;2016-04-19 17:53:45.621000
14381;4670;6531;2016-04-19 17:53:45.730000
14371;4583;6895;2016-04-19 17:53:45.839000
14391;4656;nan;2016-04-19 17:53:45.949000
14322;4642;nan;2016-04-19 17:53:46.058000
14326;4607;6707;2016-04-19 17:53:46.152000
14325;4575;6661;2016-04-19 17:53:46.246000
14321;4580;6728;2016-04-19 17:53:46.355000
14266;4583;6691;2016-04-19 17:53:46.464000
14274;4616;6914;2016-04-19 17:53:46.574000
14217;4621;6783;2016-04-19 17:53:46.683000
14244;4610;6707;2016-04-19 17:53:46.777000
14234;4584;6707;2016-04-19 17:53:46.871000
14266;4561;6664;2016-04-19 17:53:46.964000
14226;4447;6738;2016-04-19 17:53:47.089000
14175;4419;6775;2016-04-19 17:53:47.199000
14128;4366;6908;2016-04-19 17:53:47.308000
14123;4380;6694;2016-04-19 17:53:47.417000
14119;4310;6737;2016-04-19 17:53:47.511000
nan;nan;6714;2016-04-19 17:53:47.605000
nan;4409;6793;2016-04-19 17:53:47.714000
14083;4470;6802;2016-04-19 17:53:47.824000
14123;4529;6743;2016-04-19 17:53:47.933000
14093;4479;6783;2016-04-19 17:53:48.042000
nan;4458;6829;2016-04-19 17:53:48.136000
14064;4322;6821;2016-04-19 17:53:48.230000
14018;4300;6985;2016-04-19 17:53:48.324000
14030;4316;6775;2016-04-19 17:53:48.449000
nan;4272;6885;2016-04-19 17:53:48.558000
nan;nan;6898;2016-04-19 17:53:48.652000
13964;4709;6948;2016-04-19 17:53:48.761000
nan;4615;6979;2016-04-19 17:53:48.855000
13956;nan;6994;2016-04-19 17:53:48.949000
13932;4543;6993;2016-04-19 17:53:49.058000
nan;4667;6934;2016-04-19 17:53:49.167000
13931;nan;6893;2016-04-19 17:53:49.277000
13889;4295;6938;2016-04-19 17:53:49.386000
13896;4247;7151;2016-04-19 17:53:49.496000
13844;nan;7031;2016-04-19 17:53:49.589000
13833;4171;6976;2016-04-19 17:53:49.683000
13829;4199;6922;2016-04-19 17:53:49.808000
nan;4165;7046;2016-04-19 17:53:49.917000
13789;nan;7090;2016-04-19 17:53:50.027000
13799;4182;7087;2016-04-19 17:53:50.136000
13760;4236;7173;2016-04-19 17:53:50.230000
13691;4278;nan;2016-04-19 17:53:50.324000
13713;4281;7127;2016-04-19 17:53:50.433000
13658;4231;7131;2016-04-19 17:53:50.543000
13639;4168;7225;2016-04-19 17:53:50.652000
13655;4148;7213;2016-04-19 17:53:50.761000
13648;4070;7223;2016-04-19 17:53:50.871000
13605;4055;7250;2016-04-19 17:53:50.964000
13584;4039;7279;2016-04-19 17:53:51.058000
13554;4022;7285;2016-04-19 17:53:51.183000
13553;4039;7332;2016-04-19 17:53:51.308000
13529;4031;7375;2016-04-19 17:53:51.418000
13521;4046;nan;2016-04-19 17:53:51.527000
13522;4009;nan;2016-04-19 17:53:51.621000
13520;3962;7321;2016-04-19 17:53:51.714000
13511;3945;7346;2016-04-19 17:53:51.824000
13477;3933;nan;2016-04-19 17:53:51.933000
13477;3872;nan;2016-04-19 17:53:52.043000
13458;3889;nan;2016-04-19 17:53:52.152000
13428;3868;7388;2016-04-19 17:53:52.261000
13405;3802;7374;2016-04-19 17:53:52.355000
13373;3738;7460;2016-04-19 17:53:52.464000
13378;3757;7444;2016-04-19 17:53:52.574000
13405;3769;7496;2016-04-19 17:53:52.683000
13364;3792;7461;2016-04-19 17:53:52.793000
13357;3768;7490;2016-04-19 17:53:52.902000
13329;3838;7458;2016-04-19 17:53:52.996000
13337;3867;7441;2016-04-19 17:53:53.089000
13317;3815;nan;2016-04-19 17:53:53.199000
13316;3787;7443;2016-04-19 17:53:53.308000
13289;3739;7453;2016-04-19 17:53:53.418000
13291;3739;7519;2016-04-19 17:53:53.527000
13282;3714;7516;2016-04-19 17:53:53.621000
13259;3712;7546;2016-04-19 17:53:53.714000
13276;3728;7583;2016-04-19 17:53:53.808000
13245;3732;7599;2016-04-19 17:53:53.933000
13192;3717;7610;2016-04-19 17:53:54.043000
13178;3742;7631;2016-04-19 17:53:54.152000
13165;3728;7631;2016-04-19 17:53:54.261000
13142;3677;7591;2016-04-19 17:53:54.355000
13108;3685;7645;2016-04-19 17:53:54.449000
nan;3702;7658;2016-04-19 17:53:54.558000
nan;3661;7684;2016-04-19 17:53:54.668000
nan;3654;7725;2016-04-19 17:53:54.777000
nan;3651;7699;2016-04-19 17:53:54.871000
nan;3593;7781;2016-04-19 17:53:54.964000
13054;nan;7746;2016-04-19 17:53:55.058000
13005;3637;7784;2016-04-19 17:53:55.152000
12992;3723;7786;2016-04-19 17:53:55.261000
13012;3723;7784;2016-04-19 17:53:55.371000
12993;3619;7844;2016-04-19 17:53:55.480000
12940;3564;7864;2016-04-19 17:53:55.589000
12968;3445;7842;2016-04-19 17:53:55.683000
12981;3486;7904;2016-04-19 17:53:55.777000
