0;5000;10000;15000;
5578;nan;nan;12368;2016-04-19 17:45:33.909000
5592;4557;nan;12322;2016-04-19 17:45:34.034000
5537;4627;nan;12318;2016-04-19 17:45:34.159000
5626;4596;nan;12362;2016-04-19 17:45:34.269000
5550;4542;8468;12356;2016-04-19 17:45:34.378000
nan;4487;nan;12304;2016-04-19 17:45:34.503000
nan;4483;8449;12247;2016-04-19 17:45:34.628000
nan;4535;nan;12275;2016-04-19 17:45:34.753000
nan;4525;nan;12255;2016-04-19 17:45:34.862000
nan;4509;nan;12229;2016-04-19 17:45:34.972000
nan;4535;nan;12267;2016-04-19 17:45:35.081000
nan;4581;nan;12195;2016-04-19 17:45:35.222000
nan;4509;nan;12190;2016-04-19 17:45:35.347000
nan;4497;nan;12173;2016-04-19 17:45:35.456000
nan;4460;nan;12116;2016-04-19 17:45:35.566000
nan;4510;nan;12104;2016-04-19 17:45:35.675000
nan;4502;nan;12093;2016-04-19 17:45:35.784000
nan;4409;nan;nan;2016-04-19 17:45:35.925000
nan;4430;nan;12067;2016-04-19 17:45:36.050000
nan;4444;nan;12086;2016-04-19 17:45:36.159000
nan;nan;nan;12048;2016-04-19 17:45:36.269000
nan;4509;nan;12043;2016-04-19 17:45:36.378000
nan;4454;nan;12082;2016-04-19 17:45:36.503000
nan;4544;nan;12021;2016-04-19 17:45:36.628000
nan;4440;nan;12035;2016-04-19 17:45:36.753000
nan;4448;nan;12058;2016-04-19 17:45:36.862000
nan;4369;nan;11965;2016-04-19 17:45:36.972000
nan;4424;nan;nan;2016-04-19 17:45:37.081000
nan;4456;nan;nan;2016-04-19 17:45:37.206000
nan;4462;nan;12153;2016-04-19 17:45:37.331000
6229;nan;nan;12155;2016-04-19 17:45:37.456000
nan;4399;nan;12116;2016-04-19 17:45:37.581000
nan;4411;nan;12085;2016-04-19 17:45:37.691000
nan;4384;nan;nan;2016-04-19 17:45:37.800000
nan;4350;nan;11937;2016-04-19 17:45:37.925000
nan;4464;nan;11754;2016-04-19 17:45:38.050000
nan;4399;7522;11835;2016-04-19 17:45:38.175000
nan;4389;7502;11896;2016-04-19 17:45:38.284000
nan;4327;7516;nan;2016-04-19 17:45:38.394000
nan;4357;7520;11803;2016-04-19 17:45:38.503000
nan;4477;7575;11828;2016-04-19 17:45:38.644000
nan;4416;7512;11732;2016-04-19 17:45:38.769000
nan;4396;nan;nan;2016-04-19 17:45:38.878000
nan;4344;nan;11750;2016-04-19 17:45:38.987000
6080;4392;nan;11740;2016-04-19 17:45:39.097000
nan;4335;nan;11729;2016-04-19 17:45:39.222000
6039;4383;nan;11673;2016-04-19 17:45:39.347000
6143;4296;nan;11632;2016-04-19 17:45:39.472000
6079;4345;nan;11615;2016-04-19 17:45:39.597000
6092;4382;nan;11640;2016-04-19 17:45:39.722000
6043;4382;nan;11624;2016-04-19 17:45:39.831000
6122;4324;nan;11601;2016-04-19 17:45:39.956000
5997;4320;7448;11573;2016-04-19 17:45:40.081000
6090;4428;nan;11576;2016-04-19 17:45:40.206000
6149;4346;nan;11574;2016-04-19 17:45:40.331000
6086;4348;7309;11535;2016-04-19 17:45:40.456000
nan;4459;7199;11532;2016-04-19 17:45:40.566000
6132;4484;7249;11491;2016-04-19 17:45:40.706000
6189;nan;7253;11512;2016-04-19 17:45:40.831000
6193;4412;7204;11499;2016-04-19 17:45:40.956000
nan;nan;7214;11459;2016-04-19 17:45:41.066000
6189;nan;7232;11366;2016-04-19 17:45:41.175000
nan;nan;7192;11384;2016-04-19 17:45:41.300000
nan;nan;7168;11358;2016-04-19 17:45:41.425000
nan;nan;7177;11358;2016-04-19 17:45:41.550000
6211;nan;7103;11370;2016-04-19 17:45:41.675000
6327;nan;7108;11328;2016-04-19 17:45:41.800000
6294;nan;7048;11311;2016-04-19 17:45:41.909000
6259;4343;7017;11381;2016-04-19 17:45:42.034000
6305;4305;7082;11331;2016-04-19 17:45:42.159000
6289;4305;7048;11331;2016-04-19 17:45:42.284000
6272;4397;7028;11342;2016-04-19 17:45:42.409000
nan;4393;7022;11305;2016-04-19 17:45:42.519000
6430;4310;7073;11263;2016-04-19 17:45:42.644000
nan;4327;7032;11229;2016-04-19 17:45:42.769000
nan;nan;6982;11244;2016-04-19 17:45:42.894000
nan;4256;7013;11187;2016-04-19 17:45:43.003000
nan;4316;7004;11212;2016-04-19 17:45:43.113000
nan;4281;6980;11167;2016-04-19 17:45:43.222000
nan;4223;6958;11169;2016-04-19 17:45:43.347000
6491;4329;6927;11179;2016-04-19 17:45:43.472000
6495;4399;6876;11172;2016-04-19 17:45:43.597000
6474;4219;7012;11111;2016-04-19 17:45:43.722000
6441;4293;6862;11127;2016-04-19 17:45:43.847000
6523;nan;6871;11105;2016-04-19 17:45:43.956000
6423;nan;6807;11106;2016-04-19 17:45:44.081000
nan;4336;6806;11118;2016-04-19 17:45:44.206000
6475;4355;6841;11121;2016-04-19 17:45:44.331000
6473;nan;6794;11052;2016-04-19 17:45:44.456000
6497;nan;nan;11027;2016-04-19 17:45:44.566000
6518;4415;6787;11000;2016-04-19 17:45:44.691000
nan;4348;6861;10981;2016-04-19 17:45:44.816000
6499;4309;6883;11003;2016-04-19 17:45:44.941000
6602;4315;6761;11000;2016-04-19 17:45:45.066000
6735;nan;6782;10944;2016-04-19 17:45:45.191000
6560;nan;6765;11014;2016-04-19 17:45:45.316000
6588;nan;6725;10932;2016-04-19 17:45:45.441000
6760;nan;6685;10977;2016-04-19 17:45:45.566000
6723;nan;6739;10968;2016-04-19 17:45:45.691000
nan;nan;6771;10950;2016-04-19 17:45:45.816000
6611;nan;6698;10937;2016-04-19 17:45:45.925000
6651;4301;6780;10873;2016-04-19 17:45:46.034000
6683;nan;6835;10885;2016-04-19 17:45:46.175000
6675;4400;6728;10864;2016-04-19 17:45:46.300000
6808;4305;6668;10826;2016-04-19 17:45:46.425000
6754;nan;6726;10800;2016-04-19 17:45:46.550000
nan;nan;nan;10766;2016-04-19 17:45:46.659000
nan;nan;6664;10800;2016-04-19 17:45:46.784000
nan;4442;nan;10796;2016-04-19 17:45:46.909000
6866;nan;nan;10758;2016-04-19 17:45:47.034000
nan;nan;nan;10727;2016-04-19 17:45:47.144000
nan;nan;nan;10745;2016-04-19 17:45:47.253000
nan;nan;nan;10750;2016-04-19 17:45:47.363000
nan;nan;nan;10720;2016-04-19 17:45:47.488000
nan;nan;nan;10684;2016-04-19 17:45:47.613000
nan;nan;nan;10663;2016-04-19 17:45:47.738000
nan;nan;nan;10675;2016-04-19 17:45:47.847000
nan;5059;nan;10671;2016-04-19 17:45:47.956000
nan;nan;nan;10644;2016-04-19 17:45:48.066000
nan;nan;nan;10636;2016-04-19 17:45:48.191000
nan;nan;nan;10604;2016-04-19 17:45:48.316000
nan;nan;nan;10544;2016-04-19 17:45:48.441000
6986;nan;nan;10577;2016-04-19 17:45:48.566000
nan;nan;nan;10520;2016-04-19 17:45:48.675000
nan;nan;nan;10543;2016-04-19 17:45:48.800000
nan;nan;nan;10460;2016-04-19 17:45:48.925000
nan;nan;nan;10515;2016-04-19 17:45:49.050000
nan;nan;nan;nan;2016-04-19 17:45:49.159000
nan;nan;nan;10492;2016-04-19 17:45:49.269000
nan;nan;nan;10487;2016-04-19 17:45:49.378000
nan;4607;nan;10470;2016-04-19 17:45:49.503000
nan;nan;6871;10416;2016-04-19 17:45:49.628000
nan;nan;6295;10456;2016-04-19 17:45:49.753000
nan;nan;nan;10378;2016-04-19 17:45:49.863000
nan;nan;nan;10378;2016-04-19 17:45:49.972000
nan;nan;6378;10400;2016-04-19 17:45:50.081000
nan;nan;nan;10338;2016-04-19 17:45:50.206000
nan;nan;6310;10346;2016-04-19 17:45:50.331000
nan;4621;6232;nan;2016-04-19 17:45:50.456000
nan;nan;6176;10374;2016-04-19 17:45:50.566000
nan;nan;6232;10353;2016-04-19 17:45:50.675000
nan;nan;6277;10332;2016-04-19 17:45:50.784000
nan;nan;6244;10325;2016-04-19 17:45:50.909000
7288;nan;6231;10420;2016-04-19 17:45:51.034000
nan;nan;6177;10332;2016-04-19 17:45:51.159000
nan;nan;6186;nan;2016-04-19 17:45:51.269000
nan;nan;6193;10394;2016-04-19 17:45:51.378000
nan;nan;6127;10283;2016-04-19 17:45:51.488000
nan;4471;6140;10334;2016-04-19 17:45:51.628000
nan;nan;6153;10329;2016-04-19 17:45:51.753000
nan;4387;6168;10252;2016-04-19 17:45:51.863000
nan;nan;6140;10231;2016-04-19 17:45:51.972000
nan;nan;6138;10185;2016-04-19 17:45:52.081000
nan;nan;6093;10219;2016-04-19 17:45:52.191000
nan;nan;6099;10199;2016-04-19 17:45:52.331000
7538;nan;6106;nan;2016-04-19 17:45:52.456000
nan;4528;6092;10243;2016-04-19 17:45:52.566000
nan;4474;6048;10147;2016-04-19 17:45:52.675000
nan;4422;6056;10087;2016-04-19 17:45:52.785000
nan;4448;6024;10094;2016-04-19 17:45:52.910000
nan;4414;6064;10121;2016-04-19 17:45:53.035000
nan;4416;6072;10097;2016-04-19 17:45:53.160000
nan;nan;6083;10076;2016-04-19 17:45:53.269000
nan;4450;6038;10053;2016-04-19 17:45:53.378000
nan;4451;6081;10077;2016-04-19 17:45:53.488000
nan;4472;6010;10026;2016-04-19 17:45:53.613000
nan;4450;6034;9989;2016-04-19 17:45:53.738000
nan;4477;5998;9978;2016-04-19 17:45:53.863000
nan;4520;5980;9963;2016-04-19 17:45:53.972000
nan;4503;5989;9925;2016-04-19 17:45:54.081000
nan;4464;5957;9953;2016-04-19 17:45:54.191000
nan;4466;5944;9963;2016-04-19 17:45:54.316000
nan;4499;5964;9917;2016-04-19 17:45:54.441000
7786;4491;5943;9898;2016-04-19 17:45:54.566000
7698;4473;5933;9927;2016-04-19 17:45:54.691000
7731;4446;5936;9986;2016-04-19 17:45:54.816000
nan;4508;5906;9917;2016-04-19 17:45:54.925000
nan;4459;5949;9874;2016-04-19 17:45:55.066000
7708;4455;5926;9846;2016-04-19 17:45:55.191000
nan;4410;5869;nan;2016-04-19 17:45:55.316000
nan;4454;5898;nan;2016-04-19 17:45:55.425000
nan;4511;5887;9744;2016-04-19 17:45:55.535000
nan;4505;5842;9764;2016-04-19 17:45:55.660000
7836;4491;5889;9719;2016-04-19 17:45:55.785000
7825;4584;5841;9715;2016-04-19 17:45:55.910000
nan;4540;5879;9737;2016-04-19 17:45:56.019000
nan;4494;5901;9703;2016-04-19 17:45:56.128000
nan;4524;5871;9698;2016-04-19 17:45:56.238000
nan;4513;5812;9683;2016-04-19 17:45:56.363000
nan;4537;5847;9634;2016-04-19 17:45:56.488000
nan;nan;5786;9669;2016-04-19 17:45:56.613000
nan;4594;5750;9628;2016-04-19 17:45:56.722000
nan;4567;5824;9612;2016-04-19 17:45:56.831000
nan;4511;5774;nan;2016-04-19 17:45:56.941000
nan;4497;nan;9570;2016-04-19 17:45:57.066000
nan;4516;nan;9599;2016-04-19 17:45:57.191000
nan;4580;nan;9680;2016-04-19 17:45:57.316000
nan;4585;6062;nan;2016-04-19 17:45:57.425000
nan;4578;nan;9550;2016-04-19 17:45:57.535000
nan;4560;nan;nan;2016-04-19 17:45:57.644000
nan;4558;5893;nan;2016-04-19 17:45:57.769000
nan;4607;nan;nan;2016-04-19 17:45:57.894000
nan;4653;nan;nan;2016-04-19 17:45:58.003000
nan;4685;nan;nan;2016-04-19 17:45:58.113000
nan;4652;nan;9555;2016-04-19 17:45:58.222000
nan;4593;6140;9501;2016-04-19 17:45:58.331000
nan;4597;5695;nan;2016-04-19 17:45:58.456000
nan;4640;nan;9570;2016-04-19 17:45:58.581000
nan;4690;nan;9426;2016-04-19 17:45:58.691000
nan;4659;nan;9333;2016-04-19 17:45:58.800000
8145;4630;5525;9356;2016-04-19 17:45:58.910000
nan;4714;5509;9379;2016-04-19 17:45:59.019000
8135;4561;5508;9381;2016-04-19 17:45:59.160000
8148;4575;nan;9360;2016-04-19 17:45:59.285000
nan;4567;5469;9326;2016-04-19 17:45:59.410000
nan;4610;5455;9340;2016-04-19 17:45:59.519000
nan;4643;5444;9229;2016-04-19 17:45:59.628000
nan;4677;5482;9272;2016-04-19 17:45:59.753000
nan;nan;5419;9254;2016-04-19 17:45:59.878000
nan;4670;5426;9286;2016-04-19 17:46:00.003000
nan;4618;5452;9295;2016-04-19 17:46:00.113000
nan;4709;5447;9286;2016-04-19 17:46:00.222000
8251;4699;5406;nan;2016-04-19 17:46:00.331000
8294;4740;5362;nan;2016-04-19 17:46:00.456000
nan;4745;nan;nan;2016-04-19 17:46:00.581000
nan;4736;5393;9167;2016-04-19 17:46:00.706000
nan;4762;5322;nan;2016-04-19 17:46:00.831000
8354;4715;5384;9143;2016-04-19 17:46:00.956000
8280;4796;nan;9175;2016-04-19 17:46:01.066000
8315;4772;5363;9246;2016-04-19 17:46:01.191000
nan;4767;5333;9202;2016-04-19 17:46:01.331000
nan;4707;5325;nan;2016-04-19 17:46:01.441000
8489;4763;5324;9057;2016-04-19 17:46:01.566000
nan;4831;5316;9139;2016-04-19 17:46:01.675000
nan;4802;5342;9099;2016-04-19 17:46:01.800000
nan;4857;5283;nan;2016-04-19 17:46:01.925000
nan;4833;5361;nan;2016-04-19 17:46:02.050000
nan;4831;5338;8943;2016-04-19 17:46:02.160000
nan;4835;5307;8961;2016-04-19 17:46:02.269000
nan;4933;5269;8969;2016-04-19 17:46:02.378000
nan;4805;5260;8949;2016-04-19 17:46:02.503000
nan;4849;5239;8969;2016-04-19 17:46:02.628000
nan;4843;5289;8974;2016-04-19 17:46:02.753000
nan;4827;5302;9002;2016-04-19 17:46:02.863000
nan;4899;5294;8988;2016-04-19 17:46:02.972000
nan;4896;5270;8923;2016-04-19 17:46:03.082000
nan;4922;5235;8942;2016-04-19 17:46:03.207000
nan;4996;5211;8924;2016-04-19 17:46:03.331000
nan;4933;5176;8903;2016-04-19 17:46:03.456000
nan;4908;5167;8859;2016-04-19 17:46:03.566000
nan;4925;5199;8841;2016-04-19 17:46:03.675000
nan;4900;5138;8815;2016-04-19 17:46:03.785000
nan;4908;5121;8774;2016-04-19 17:46:03.910000
nan;4905;5146;8801;2016-04-19 17:46:04.035000
nan;nan;5187;8768;2016-04-19 17:46:04.160000
nan;nan;5157;8811;2016-04-19 17:46:04.269000
nan;nan;nan;8909;2016-04-19 17:46:04.378000
nan;nan;5182;8902;2016-04-19 17:46:04.488000
nan;4997;5134;8919;2016-04-19 17:46:04.613000
nan;5009;5147;nan;2016-04-19 17:46:04.738000
nan;4974;5082;nan;2016-04-19 17:46:04.847000
8796;5022;5036;8734;2016-04-19 17:46:04.972000
8924;5051;4992;8765;2016-04-19 17:46:05.082000
8878;5063;nan;8733;2016-04-19 17:46:05.191000
8807;nan;nan;8592;2016-04-19 17:46:05.332000
8814;nan;4982;8571;2016-04-19 17:46:05.457000
nan;nan;5079;8562;2016-04-19 17:46:05.582000
nan;nan;5060;8627;2016-04-19 17:46:05.691000
nan;5078;5017;8581;2016-04-19 17:46:05.800000
nan;5138;4960;nan;2016-04-19 17:46:05.925000
nan;5161;5004;8670;2016-04-19 17:46:06.050000
nan;nan;5016;8846;2016-04-19 17:46:06.175000
nan;nan;4986;nan;2016-04-19 17:46:06.285000
nan;nan;4959;nan;2016-04-19 17:46:06.394000
nan;nan;4913;nan;2016-04-19 17:46:06.503000
nan;5161;4937;nan;2016-04-19 17:46:06.628000
nan;5193;4926;8820;2016-04-19 17:46:06.753000
nan;nan;4945;nan;2016-04-19 17:46:06.878000
nan;nan;4932;8654;2016-04-19 17:46:06.988000
9036;nan;4937;8541;2016-04-19 17:46:07.097000
9003;nan;4927;8609;2016-04-19 17:46:07.207000
9029;nan;4904;8581;2016-04-19 17:46:07.332000
9063;nan;4944;8520;2016-04-19 17:46:07.457000
9099;5296;4899;8495;2016-04-19 17:46:07.582000
9135;5340;4927;8514;2016-04-19 17:46:07.707000
9096;5406;4864;8631;2016-04-19 17:46:07.816000
9166;nan;4897;nan;2016-04-19 17:46:07.925000
nan;nan;4814;nan;2016-04-19 17:46:08.066000
nan;nan;4854;nan;2016-04-19 17:46:08.191000
nan;5345;4817;8294;2016-04-19 17:46:08.300000
nan;5286;4822;nan;2016-04-19 17:46:08.410000
nan;5297;4957;8279;2016-04-19 17:46:08.519000
nan;nan;4717;8308;2016-04-19 17:46:08.644000
nan;5322;4763;8184;2016-04-19 17:46:08.769000
nan;5275;4823;8155;2016-04-19 17:46:08.894000
9231;5328;4855;8157;2016-04-19 17:46:09.019000
nan;5422;4771;8198;2016-04-19 17:46:09.128000
nan;5372;4823;8150;2016-04-19 17:46:09.238000
nan;nan;4798;8192;2016-04-19 17:46:09.363000
nan;nan;nan;8142;2016-04-19 17:46:09.488000
nan;nan;4752;8127;2016-04-19 17:46:09.613000
nan;5349;4785;8442;2016-04-19 17:46:09.738000
nan;nan;4815;8094;2016-04-19 17:46:09.847000
nan;nan;4762;8242;2016-04-19 17:46:09.957000
nan;nan;4735;nan;2016-04-19 17:46:10.082000
nan;nan;4799;nan;2016-04-19 17:46:10.207000
nan;nan;4760;8032;2016-04-19 17:46:10.332000
nan;nan;4739;8078;2016-04-19 17:46:10.441000
nan;nan;4732;8079;2016-04-19 17:46:10.550000
nan;nan;4740;8065;2016-04-19 17:46:10.660000
nan;nan;4734;7977;2016-04-19 17:46:10.800000
nan;5422;4705;7926;2016-04-19 17:46:10.925000
nan;5477;4697;nan;2016-04-19 17:46:11.035000
nan;5507;4750;8001;2016-04-19 17:46:11.144000
nan;5560;4753;nan;2016-04-19 17:46:11.253000
nan;5544;4697;8324;2016-04-19 17:46:11.378000
nan;5579;4731;nan;2016-04-19 17:46:11.503000
nan;nan;4716;nan;2016-04-19 17:46:11.628000
nan;nan;4665;7933;2016-04-19 17:46:11.738000
nan;nan;4659;7878;2016-04-19 17:46:11.847000
nan;nan;4670;7896;2016-04-19 17:46:11.957000
nan;nan;4719;7838;2016-04-19 17:46:12.082000
nan;nan;4593;7845;2016-04-19 17:46:12.207000
nan;nan;4597;7870;2016-04-19 17:46:12.332000
9715;nan;4647;7789;2016-04-19 17:46:12.457000
nan;nan;4581;7731;2016-04-19 17:46:12.566000
nan;nan;4621;7781;2016-04-19 17:46:12.675000
9753;nan;4607;7830;2016-04-19 17:46:12.800000
9770;nan;4612;7749;2016-04-19 17:46:12.925000
9755;nan;4588;7734;2016-04-19 17:46:13.050000
9679;nan;4587;7732;2016-04-19 17:46:13.175000
9735;5696;4598;7712;2016-04-19 17:46:13.285000
9766;5818;4525;nan;2016-04-19 17:46:13.394000
9808;nan;4521;7727;2016-04-19 17:46:13.535000
9793;nan;4509;7631;2016-04-19 17:46:13.660000
9775;nan;4532;7658;2016-04-19 17:46:13.785000
9803;nan;4526;7638;2016-04-19 17:46:13.910000
9827;nan;4564;7636;2016-04-19 17:46:14.019000
9829;nan;4529;7623;2016-04-19 17:46:14.144000
9865;nan;4524;7613;2016-04-19 17:46:14.269000
9909;5756;4513;7567;2016-04-19 17:46:14.394000
9961;5778;4524;7503;2016-04-19 17:46:14.519000
9920;5814;nan;7556;2016-04-19 17:46:14.629000
9907;5874;4513;7493;2016-04-19 17:46:14.753000
9981;5930;4452;7479;2016-04-19 17:46:14.894000
nan;5942;4507;7597;2016-04-19 17:46:15.019000
9973;nan;4515;nan;2016-04-19 17:46:15.144000
10075;nan;4428;7570;2016-04-19 17:46:15.269000
10040;nan;nan;8111;2016-04-19 17:46:15.379000
10053;nan;4483;7552;2016-04-19 17:46:15.504000
10116;5952;4464;7501;2016-04-19 17:46:15.629000
10081;6012;4480;7446;2016-04-19 17:46:15.754000
10091;6012;4464;nan;2016-04-19 17:46:15.879000
10086;6034;4498;7416;2016-04-19 17:46:16.019000
10113;6024;4505;7419;2016-04-19 17:46:16.129000
10152;nan;4470;7369;2016-04-19 17:46:16.269000
10152;6014;4483;7373;2016-04-19 17:46:16.394000
10159;6037;4448;7407;2016-04-19 17:46:16.519000
10160;6057;4471;7395;2016-04-19 17:46:16.644000
10171;6069;4428;7299;2016-04-19 17:46:16.754000
nan;6136;4426;7341;2016-04-19 17:46:16.879000
10213;nan;4426;7370;2016-04-19 17:46:17.004000
10238;nan;4427;7281;2016-04-19 17:46:17.129000
nan;nan;4445;7252;2016-04-19 17:46:17.238000
10226;nan;4436;7196;2016-04-19 17:46:17.363000
10247;nan;4388;7222;2016-04-19 17:46:17.472000
10297;nan;4442;7270;2016-04-19 17:46:17.597000
10334;nan;4448;7153;2016-04-19 17:46:17.722000
10306;nan;4408;nan;2016-04-19 17:46:17.847000
10309;6171;4432;7101;2016-04-19 17:46:17.972000
10337;nan;4484;7174;2016-04-19 17:46:18.082000
10388;6220;4435;7129;2016-04-19 17:46:18.207000
nan;6277;4446;7114;2016-04-19 17:46:18.332000
