0;5000;10000;15000;
0;0;0;0;
nan;5183;nan;nan;2016-04-19 17:45:19.003000
nan;5214;nan;13694;2016-04-19 17:45:19.112000
nan;5160;nan;13695;2016-04-19 17:45:19.222000
nan;5161;nan;13661;2016-04-19 17:45:19.331000
nan;5155;nan;13653;2016-04-19 17:45:19.456000
nan;5169;nan;13659;2016-04-19 17:45:19.581000
nan;5182;nan;13672;2016-04-19 17:45:19.706000
nan;5185;nan;13678;2016-04-19 17:45:19.815000
nan;5179;nan;13657;2016-04-19 17:45:19.925000
nan;5179;nan;13661;2016-04-19 17:45:20.034000
nan;5191;nan;13638;2016-04-19 17:45:20.175000
nan;5194;nan;13632;2016-04-19 17:45:20.300000
nan;5169;nan;nan;2016-04-19 17:45:20.409000
nan;5164;nan;13642;2016-04-19 17:45:20.519000
nan;5170;nan;13639;2016-04-19 17:45:20.628000
nan;5171;nan;13702;2016-04-19 17:45:20.753000
nan;5174;nan;13641;2016-04-19 17:45:20.878000
nan;5150;nan;13650;2016-04-19 17:45:21.003000
nan;5161;nan;13659;2016-04-19 17:45:21.112000
nan;5164;nan;13676;2016-04-19 17:45:21.222000
nan;5160;nan;nan;2016-04-19 17:45:21.331000
nan;nan;nan;13684;2016-04-19 17:45:21.456000
nan;5197;nan;13655;2016-04-19 17:45:21.581000
nan;5177;nan;13670;2016-04-19 17:45:21.706000
nan;5165;nan;13682;2016-04-19 17:45:21.815000
nan;5175;nan;13646;2016-04-19 17:45:21.925000
nan;5159;nan;13678;2016-04-19 17:45:22.034000
nan;5152;nan;13653;2016-04-19 17:45:22.159000
nan;5173;nan;13644;2016-04-19 17:45:22.284000
nan;5165;nan;13625;2016-04-19 17:45:22.409000
nan;5187;nan;13630;2016-04-19 17:45:22.519000
nan;5224;nan;13655;2016-04-19 17:45:22.644000
5139;5210;nan;13634;2016-04-19 17:45:22.753000
nan;5198;nan;13595;2016-04-19 17:45:22.878000
nan;5219;nan;13576;2016-04-19 17:45:23.003000
nan;5141;nan;nan;2016-04-19 17:45:23.128000
nan;5228;nan;13599;2016-04-19 17:45:23.237000
nan;5180;nan;13549;2016-04-19 17:45:23.347000
nan;5147;nan;13508;2016-04-19 17:45:23.456000
nan;5165;nan;13511;2016-04-19 17:45:23.597000
nan;5152;nan;13521;2016-04-19 17:45:23.722000
nan;5168;nan;13579;2016-04-19 17:45:23.831000
nan;nan;nan;13600;2016-04-19 17:45:23.956000
nan;5171;nan;13552;2016-04-19 17:45:24.065000
nan;5118;nan;13539;2016-04-19 17:45:24.190000
nan;5134;nan;13498;2016-04-19 17:45:24.315000
nan;5032;nan;13524;2016-04-19 17:45:24.440000
nan;5093;nan;13496;2016-04-19 17:45:24.550000
nan;5091;nan;13462;2016-04-19 17:45:24.675000
nan;5058;nan;13417;2016-04-19 17:45:24.784000
nan;5037;nan;13397;2016-04-19 17:45:24.909000
4989;5033;nan;13411;2016-04-19 17:45:25.034000
nan;5038;nan;13428;2016-04-19 17:45:25.159000
nan;5082;nan;13439;2016-04-19 17:45:25.269000
5023;5026;nan;13417;2016-04-19 17:45:25.394000
nan;5019;9252;13410;2016-04-19 17:45:25.503000
nan;4997;nan;nan;2016-04-19 17:45:25.644000
nan;4960;nan;13353;2016-04-19 17:45:25.769000
nan;4973;nan;13370;2016-04-19 17:45:25.878000
nan;4956;nan;13296;2016-04-19 17:45:25.987000
nan;5013;nan;13284;2016-04-19 17:45:26.097000
5079;4996;nan;13297;2016-04-19 17:45:26.222000
nan;4925;nan;13297;2016-04-19 17:45:26.347000
nan;nan;nan;13300;2016-04-19 17:45:26.472000
nan;4925;nan;13195;2016-04-19 17:45:26.597000
5041;4909;nan;13210;2016-04-19 17:45:26.722000
5001;4923;nan;13206;2016-04-19 17:45:26.831000
nan;4939;nan;13227;2016-04-19 17:45:26.956000
5065;4853;nan;13215;2016-04-19 17:45:27.081000
5050;4906;nan;13263;2016-04-19 17:45:27.206000
nan;4850;nan;nan;2016-04-19 17:45:27.331000
5101;4890;nan;13241;2016-04-19 17:45:27.456000
5123;4886;nan;nan;2016-04-19 17:45:27.565000
5144;4894;nan;13217;2016-04-19 17:45:27.706000
nan;4892;8775;nan;2016-04-19 17:45:27.831000
nan;4796;8727;13223;2016-04-19 17:45:27.940000
nan;4860;nan;13163;2016-04-19 17:45:28.050000
nan;4822;nan;13191;2016-04-19 17:45:28.159000
nan;4850;8706;13105;2016-04-19 17:45:28.284000
nan;4870;nan;13088;2016-04-19 17:45:28.409000
nan;4905;nan;13073;2016-04-19 17:45:28.534000
5292;4743;nan;13010;2016-04-19 17:45:28.659000
nan;4798;nan;13008;2016-04-19 17:45:28.769000
nan;4876;nan;13003;2016-04-19 17:45:28.878000
nan;4796;nan;12992;2016-04-19 17:45:29.003000
nan;4937;nan;12959;2016-04-19 17:45:29.128000
5294;4872;nan;12912;2016-04-19 17:45:29.253000
nan;4792;nan;12891;2016-04-19 17:45:29.362000
5276;4775;nan;12884;2016-04-19 17:45:29.487000
nan;4827;nan;12859;2016-04-19 17:45:29.597000
nan;4794;nan;12853;2016-04-19 17:45:29.722000
nan;4659;nan;12797;2016-04-19 17:45:29.847000
nan;4766;nan;nan;2016-04-19 17:45:29.956000
nan;4744;nan;12761;2016-04-19 17:45:30.081000
5384;4749;nan;12884;2016-04-19 17:45:30.191000
nan;4745;nan;12838;2016-04-19 17:45:30.300000
5361;4737;nan;12852;2016-04-19 17:45:30.440000
nan;4730;nan;12879;2016-04-19 17:45:30.566000
nan;4695;nan;12815;2016-04-19 17:45:30.675000
5523;4654;nan;nan;2016-04-19 17:45:30.800000
nan;4737;nan;nan;2016-04-19 17:45:30.909000
nan;4674;nan;nan;2016-04-19 17:45:31.034000
5390;4740;nan;nan;2016-04-19 17:45:31.159000
nan;4712;nan;nan;2016-04-19 17:45:31.284000
nan;4588;nan;12667;2016-04-19 17:45:31.394000
nan;4745;8293;nan;2016-04-19 17:45:31.503000
nan;4676;8255;nan;2016-04-19 17:45:31.612000
nan;4626;nan;nan;2016-04-19 17:45:31.737000
nan;4680;nan;nan;2016-04-19 17:45:31.862000
nan;4672;nan;12699;2016-04-19 17:45:31.987000
nan;4634;nan;12601;2016-04-19 17:45:32.097000
5537;4629;nan;12630;2016-04-19 17:45:32.206000
nan;4652;nan;12573;2016-04-19 17:45:32.316000
5499;4645;nan;12463;2016-04-19 17:45:32.441000
nan;4672;nan;12564;2016-04-19 17:45:32.566000
5486;nan;nan;12509;2016-04-19 17:45:32.691000
5520;4634;nan;12487;2016-04-19 17:45:32.816000
nan;4583;nan;12414;2016-04-19 17:45:32.925000
5585;4633;nan;12481;2016-04-19 17:45:33.034000
5527;4603;nan;12459;2016-04-19 17:45:33.175000
5528;4569;nan;12496;2016-04-19 17:45:33.316000
nan;4587;nan;12437;2016-04-19 17:45:33.425000
5575;4623;nan;12438;2016-04-19 17:45:33.550000
nan;4644;7961;12447;2016-04-19 17:45:33.659000
nan;nan;7997;12371;2016-04-19 17:45:33.784000
