0;0;0;3964;5934;7594;9494;11694;13694;15694;
0;250;1936;250;0;250;0;220;220;220;
nan;nan;2616;5311;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:49.558000
nan;nan;2614;5321;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:49.718000
nan;nan;2625;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:49.878000
nan;11011;2625;5330;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:50.038000
nan;10998;2630;5333;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:50.198000
nan;nan;2640;5339;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:50.357000
nan;nan;2643;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:50.517000
nan;nan;2631;5338;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:50.677000
nan;10996;2627;5337;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:50.837000
nan;10986;2623;5332;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:50.997000
nan;10977;2608;5327;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:51.157000
nan;10965;2605;5319;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:51.317000
nan;10957;2614;5327;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:51.477000
nan;10950;2623;5334;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:51.636000
nan;nan;2626;5339;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:51.797000
nan;nan;2639;5344;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:51.957000
nan;10953;2648;5356;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:52.116000
nan;10961;2653;5369;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:52.276000
nan;10964;nan;5374;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:52.436000
nan;10963;2648;5376;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:52.596000
nan;10960;2651;5388;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:52.756000
nan;10952;2651;5396;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:52.916000
nan;10942;2642;5394;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:53.076000
nan;10934;2644;5400;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:53.236000
nan;10934;2649;5408;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:53.396000
nan;nan;2648;5401;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:53.556000
nan;nan;2641;5389;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:53.715000
nan;10931;2645;5375;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:53.875000
nan;nan;2640;5359;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:54.035000
nan;nan;2638;5354;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:54.195000
nan;nan;2635;5352;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:54.355000
nan;nan;2636;5346;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:54.515000
nan;nan;2636;5345;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:54.675000
nan;nan;2633;5346;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:54.835000
nan;nan;2631;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:54.995000
nan;nan;2632;5340;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:55.155000
nan;nan;2638;5340;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:55.314000
nan;nan;2646;5352;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:55.474000
nan;nan;2647;5372;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:55.634000
nan;nan;2639;5377;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:55.794000
nan;nan;2639;5374;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:55.954000
nan;nan;2639;5375;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:56.114000
nan;nan;2633;5365;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:56.274000
nan;nan;2631;5349;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:56.434000
nan;nan;2635;5340;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:56.594000
nan;nan;2632;5341;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:56.753000
nan;nan;2618;5330;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:56.914000
nan;nan;2614;5323;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:57.073000
nan;nan;2615;5318;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:57.233000
nan;nan;2621;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:57.393000
nan;nan;2626;5314;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:57.553000
nan;nan;2639;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:57.713000
nan;nan;2638;5312;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:57.873000
nan;nan;2645;5319;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:58.033000
nan;nan;2646;5332;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:58.193000
nan;nan;2643;5342;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:58.353000
nan;10936;2639;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:58.528000
nan;nan;2642;5369;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:58.752000
nan;nan;2640;5370;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:58.976000
nan;nan;2640;5365;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:59.200000
nan;10946;2642;5353;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:59.424000
nan;nan;2643;5348;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:59.648000
nan;nan;2647;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:59.808000
nan;nan;2649;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:48:59.968000
nan;nan;2646;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:00.128000
nan;nan;2640;5333;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:00.287000
nan;nan;2640;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:00.447000
nan;nan;2636;5336;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:00.607000
nan;nan;2627;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:00.767000
nan;nan;2625;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:00.927000
nan;nan;2627;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:01.087000
nan;nan;2626;5334;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:01.247000
nan;nan;2625;5336;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:01.407000
nan;nan;2627;5345;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:01.567000
nan;nan;2631;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:01.743000
nan;nan;2638;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:01.966000
nan;nan;2641;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:02.190000
nan;nan;2643;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:02.351000
nan;nan;2648;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:02.526000
nan;nan;2639;5346;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:02.750000
nan;nan;2634;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:02.974000
