129;2389;3460;nan;
163;2320;3470;nan;
164;2421;nan;nan;
194;2473;3473;nan;
175;2503;3469;nan;
184;2443;3466;nan;
nan;nan;3455;nan;
184;nan;nan;nan;
194;2348;nan;nan;
120;2281;3449;nan;
173;nan;3352;nan;
158;2367;3409;nan;
200;nan;nan;nan;
258;2296;3387;nan;
251;2384;3342;nan;
257;nan;3307;nan;
239;nan;3314;nan;
265;nan;3326;nan;
282;nan;nan;nan;
253;nan;3168;nan;
340;2486;3276;nan;
348;2275;3266;5331;
252;nan;nan;nan;
504;2155;nan;nan;
nan;2418;3115;5294;
378;nan;3140;5261;
389;1867;3117;nan;
386;1860;3080;nan;
459;1979;3054;nan;
499;2221;3002;nan;
491;1971;2979;nan;
491;1974;2958;nan;
513;nan;2919;5115;
612;2152;2841;nan;
560;1920;2841;nan;
554;1721;2797;nan;
641;1762;2808;nan;
624;1817;nan;nan;
523;1613;2799;nan;
618;1704;2808;nan;
756;1639;2782;nan;
744;1670;2641;nan;
687;1598;2749;nan;
782;1448;nan;nan;
781;nan;2595;nan;
822;1543;2580;nan;
885;1458;2554;nan;
908;1502;2564;nan;
899;1407;2458;nan;
916;1817;2580;nan;
1025;1295;nan;nan;
nan;1415;2493;nan;
990;1253;2472;nan;
1117;1406;2454;nan;
1131;1544;2875;nan;
998;1222;2604;nan;
1136;1133;2495;nan;
1178;1299;2352;nan;
1154;1259;2611;nan;
1264;1110;nan;nan;
1213;1160;2400;nan;
1272;1114;2248;nan;
1296;1076;2243;nan;
1396;1029;2157;nan;
1425;917;2271;nan;
1453;781;2254;nan;
1452;nan;2080;nan;
1338;726;2045;nan;
1533;835;2061;4004;
1576;643;2182;nan;
1571;734;2042;nan;
1521;697;1950;nan;
1467;743;1877;nan;
1657;597;2051;nan;
1720;657;1984;nan;
1692;615;1839;nan;
1735;623;1762;nan;
1786;458;2061;nan;
1757;541;1804;nan;
1865;404;1698;nan;
1841;514;1657;nan;
1929;458;1596;nan;
1932;444;1547;nan;
1984;377;1428;nan;
1982;275;1538;nan;
2055;353;1475;nan;
2148;327;1483;nan;
nan;284;1305;nan;
2028;266;1692;nan;
2149;323;1374;5477;
2111;282;1379;5537;
2191;291;1768;5380;
2239;235;1796;5292;
2189;252;1250;nan;
2322;233;1324;nan;
nan;258;1152;nan;
2249;291;1200;nan;
2363;227;1048;4237;
2398;224;1213;nan;
2435;246;1026;nan;
2397;256;1141;nan;
2403;273;1075;nan;
2471;276;1069;nan;
2520;302;866;nan;
2475;291;997;4041;
2543;327;954;nan;
2559;345;898;3184;
2528;335;872;nan;
2674;348;1265;nan;
2627;341;927;2891;
2756;375;nan;2839;
2719;430;675;nan;
2747;433;867;nan;
2747;431;748;nan;
2856;482;645;2754;
2902;559;767;2735;
2777;621;730;2720;
2955;527;545;2650;
2811;638;707;2686;
3034;610;nan;nan;
2989;574;756;nan;
3021;689;600;nan;
3076;648;706;nan;
3071;739;582;3720;
3110;808;588;nan;
3052;791;573;3709;
3179;834;589;3716;
3197;999;612;3545;
nan;929;666;nan;
3345;811;445;nan;
3340;943;643;nan;
3333;925;639;nan;
nan;967;510;nan;
3597;950;508;3487;
3449;1089;433;nan;
3476;1034;685;nan;
3691;1063;478;3304;
3573;1136;527;2271;
3540;1109;642;3281;
nan;nan;641;nan;
3573;1275;733;3372;
3664;1268;656;nan;
