398;352;3504;7000;10258;13764;nan;23943;nan;
387;327;3551;7035;10256;13771;nan;23943;nan;
357;330;3561;6972;10226;13772;nan;23956;nan;
359;nan;3601;nan;10222;13785;nan;23958;nan;
404;320;3581;7236;10228;13758;nan;23976;nan;
398;326;3563;7112;10199;13766;nan;23958;nan;
378;324;3570;7127;10191;13764;nan;23956;nan;
376;325;3569;nan;10186;13771;nan;23941;nan;
366;308;3524;6893;10139;13785;nan;23934;nan;
378;286;3474;6930;10181;13799;nan;23888;nan;
375;269;3382;6935;10211;13788;nan;23876;nan;
327;243;nan;nan;10346;13740;nan;23924;nan;
391;295;3638;6775;10403;13768;nan;23928;nan;
366;249;3944;6776;10778;13772;nan;23913;nan;
344;267;3588;6737;10731;13742;nan;23865;nan;
350;265;3417;6738;10678;13768;nan;23921;nan;
330;280;nan;nan;10283;13762;nan;23915;nan;
277;241;3956;nan;10255;13766;nan;23896;nan;
252;249;4067;nan;10214;13736;nan;23890;nan;
327;255;3488;6874;10211;13679;nan;23855;nan;
362;236;nan;7230;10217;13695;nan;23846;nan;
297;240;4142;nan;10477;13694;nan;23856;nan;
271;261;3372;nan;10110;13676;nan;23816;nan;
286;203;3481;6418;10100;13612;nan;23776;nan;
304;245;3568;6534;10436;13648;nan;23757;nan;
274;191;3330;nan;10191;13603;nan;23700;nan;
271;214;3463;6472;10594;13557;nan;23685;nan;
279;200;3305;6351;nan;13560;nan;23692;nan;
343;217;3327;6466;nan;13469;nan;23697;nan;
338;257;3450;6441;9950;13444;nan;23695;nan;
349;233;3295;nan;9934;13474;nan;23659;nan;
327;209;3268;6368;10037;13452;nan;23584;nan;
327;225;3489;nan;9939;13417;nan;23576;nan;
317;219;4148;6354;9873;13383;nan;23550;nan;
362;277;3045;6229;9827;13343;nan;23569;nan;
390;231;2987;6254;9762;13334;nan;23481;nan;
422;282;2944;6285;9743;13294;nan;23453;nan;
334;245;2872;6286;9795;13261;nan;23426;nan;
374;249;2902;6202;9730;13256;nan;23416;nan;
392;359;2907;6289;9721;nan;nan;23395;nan;
419;496;2991;6240;9711;13178;nan;23432;nan;
367;463;2919;6118;9693;13209;nan;23408;nan;
382;371;3067;6209;9739;13245;nan;23329;nan;
441;510;3063;6220;nan;13167;nan;23367;nan;
450;483;nan;6157;9697;13187;nan;23318;nan;
427;536;2829;6129;9674;13175;nan;23236;nan;
501;499;3031;6141;nan;13131;nan;23276;nan;
510;520;2523;nan;nan;13076;nan;23221;nan;
488;755;2630;5948;nan;13082;nan;23195;nan;
537;554;2571;5892;nan;13018;nan;23175;nan;
551;542;2581;5800;10168;13026;nan;23120;nan;
639;464;2595;nan;9622;12968;nan;23161;nan;
570;608;2513;nan;nan;12922;nan;23142;nan;
583;609;2526;5709;9504;12918;nan;23093;nan;
578;609;2473;5672;9579;12919;nan;23064;nan;
