265;2453;3563;nan;
227;2419;3547;5624;
231;nan;3543;5618;
231;nan;3548;5609;
232;nan;3554;nan;
233;2397;3553;nan;
233;nan;3543;nan;
232;nan;3537;nan;
232;nan;3533;nan;
231;nan;3525;nan;
231;nan;3515;nan;
230;nan;3506;nan;
237;nan;3496;nan;
240;nan;3492;nan;
237;2084;3486;nan;
243;nan;nan;nan;
249;2041;nan;nan;
253;nan;nan;nan;
258;1896;nan;nan;
264;nan;nan;nan;
268;1912;3464;nan;
282;1961;3441;nan;
289;nan;nan;nan;
299;1899;3419;nan;
312;1895;nan;5016;
327;1900;nan;nan;
340;1867;nan;5004;
358;1860;nan;nan;
373;nan;3408;nan;
392;nan;nan;nan;
407;nan;nan;nan;
423;1759;nan;nan;
439;nan;nan;nan;
454;1662;nan;nan;
478;1608;2891;nan;
497;1629;nan;nan;
514;1630;nan;nan;
531;1610;3113;nan;
551;1592;3128;4720;
575;1580;3115;4726;
600;1556;3121;nan;
618;1554;nan;nan;
647;1555;2723;nan;
674;1556;nan;nan;
697;1545;nan;nan;
717;1531;nan;nan;
739;1512;nan;nan;
761;1493;2709;nan;
784;1480;2656;nan;
810;1468;nan;nan;
836;1463;nan;nan;
864;1450;nan;nan;
888;1438;2905;nan;
915;1413;2783;nan;
944;nan;2632;nan;
967;1031;2548;4309;
996;1020;2510;4252;
1026;1006;2544;nan;
1054;972;2526;4154;
1073;967;2486;nan;
1101;959;2459;4194;
1131;939;2423;4162;
1154;922;2427;nan;
1179;903;nan;nan;
1205;888;2017;nan;
1233;890;2031;nan;
1265;880;2162;nan;
1296;870;nan;nan;
1341;856;1922;3935;
1370;839;1885;nan;
nan;827;1850;nan;
1402;806;1831;nan;
1435;791;nan;nan;
1472;777;1649;nan;
1507;765;1706;nan;
1538;734;1808;nan;
nan;699;nan;nan;
1579;666;1636;nan;
1614;641;1551;nan;
1652;609;nan;nan;
1696;579;nan;nan;
1742;554;nan;nan;
1779;531;nan;nan;
nan;507;1325;3770;
