0;5000;10000;15000;20000;25000;30000;350000;40000;45000;
0;0;0;0;0;0;0;0;0;0;
nan;nan;8005;3810;3071;nan;nan;nan;nan;nan;2016-03-12 11:12:49.149000
nan;nan;8000;3807;3085;nan;nan;nan;nan;nan;2016-03-12 11:12:49.325000
nan;nan;7988;3799;3092;nan;nan;nan;nan;nan;2016-03-12 11:12:49.549000
nan;nan;7995;nan;3082;nan;nan;nan;nan;nan;2016-03-12 11:12:49.773000
nan;nan;8022;3807;3094;nan;nan;nan;nan;nan;2016-03-12 11:12:49.996000
nan;nan;7969;3808;3101;nan;nan;nan;nan;nan;2016-03-12 11:12:50.220000
nan;nan;7984;3788;3097;nan;nan;nan;nan;nan;2016-03-12 11:12:50.428000
nan;nan;nan;3790;3086;nan;nan;nan;nan;nan;2016-03-12 11:12:50.588000
nan;nan;nan;3801;3080;nan;nan;nan;nan;nan;2016-03-12 11:12:50.748000
nan;nan;nan;3785;nan;nan;nan;nan;nan;nan;2016-03-12 11:12:50.924000
nan;nan;nan;3812;3070;nan;nan;nan;nan;nan;2016-03-12 11:12:51.132000
nan;nan;8041;3795;3074;nan;nan;nan;nan;nan;2016-03-12 11:12:51.292000
nan;nan;8030;nan;3083;nan;nan;nan;nan;nan;2016-03-12 11:12:51.467000
nan;nan;8024;3803;3082;nan;nan;nan;nan;nan;2016-03-12 11:12:51.691000
nan;nan;8008;3819;3073;nan;nan;nan;nan;nan;2016-03-12 11:12:51.899000
nan;nan;7982;3802;3087;nan;nan;nan;nan;nan;2016-03-12 11:12:52.059000
nan;nan;nan;3785;3090;nan;nan;nan;nan;nan;2016-03-12 11:12:52.219000
nan;nan;7982;3765;3089;nan;nan;nan;nan;nan;2016-03-12 11:12:52.379000
nan;nan;nan;3776;3120;nan;nan;nan;nan;nan;2016-03-12 11:12:52.539000
nan;nan;7954;3771;3108;nan;nan;nan;nan;nan;2016-03-12 11:12:52.698000
nan;nan;7950;3787;3106;nan;nan;nan;nan;nan;2016-03-12 11:12:52.859000
nan;nan;7974;3780;3131;nan;nan;nan;nan;nan;2016-03-12 11:12:53.019000
nan;nan;7945;3802;3126;nan;nan;nan;nan;nan;2016-03-12 11:12:53.178000
nan;nan;7963;3776;3130;nan;nan;nan;nan;nan;2016-03-12 11:12:53.338000
nan;nan;7950;3793;3130;nan;nan;nan;nan;nan;2016-03-12 11:12:53.498000
nan;nan;7932;3787;3108;nan;nan;nan;nan;nan;2016-03-12 11:12:53.658000
nan;nan;7958;3797;3113;nan;nan;nan;nan;nan;2016-03-12 11:12:53.818000
nan;nan;7964;3799;3117;nan;nan;nan;nan;nan;2016-03-12 11:12:53.978000
nan;nan;7967;3815;3093;nan;nan;nan;nan;nan;2016-03-12 11:12:54.138000
nan;nan;7967;3812;3093;nan;nan;nan;nan;nan;2016-03-12 11:12:54.298000
