0;2500;5000;7500;10000;12500;15000;17500;20000;22500;
1881;3570;nan;9077;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:54.659000
1863;3573;6421;9148;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:54.883000
1849;3583;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:55.107000
1826;3541;nan;9099;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:55.331000
1849;nan;nan;9060;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:55.570000
1823;3538;nan;9065;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:55.794000
1863;3537;nan;9071;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:56.018000
1867;3561;6270;9040;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:56.242000
1839;3536;6307;9052;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:56.466000
1812;3557;6321;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:56.642000
1850;3614;6326;9004;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:56.865000
1834;3585;6312;9015;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:57.105000
1819;3616;6290;9022;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:57.329000
1842;3583;nan;8980;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:57.553000
1845;nan;nan;8994;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:57.777000
1827;3567;6289;9007;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:58.001000
1787;3571;nan;8971;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:58.177000
1868;3527;6258;8951;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:58.401000
1817;nan;6289;8919;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:58.625000
nan;3503;6211;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:58.848000
1859;3569;6232;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:59.024000
1822;3544;6207;8930;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:59.248000
1858;3536;6200;8905;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:59.471000
1872;3518;6179;8905;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:59.648000
1853;3478;6195;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:59.872000
1889;3504;6165;8905;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:00.111000
1890;3489;6195;8919;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:00.335000
1812;3451;6195;8903;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:00.559000
1862;3432;6131;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:00.783000
1862;3431;6126;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:01.007000
1811;3490;6132;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:01.183000
1868;3440;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:01.407000
1827;3465;6088;8823;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:01.648000
1965;3441;6121;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:01.871000
1910;3459;6154;8795;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:02.095000
2011;3452;6098;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:02.319000
1970;3445;nan;8795;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:02.495000
2014;3428;6072;nan;11032;nan;nan;nan;nan;nan;2016-03-12 10:17:02.719000
1845;3405;6098;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:02.960000
1867;3422;6115;8789;11018;nan;nan;nan;nan;nan;2016-03-12 10:17:03.183000
1887;3469;6094;8779;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:03.406000
1894;3389;6048;8731;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:03.646000
1920;3377;6058;8715;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:03.886000
1846;3312;5994;8689;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:04.094000
1836;3263;6052;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:04.270000
1830;3332;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:04.494000
1790;3327;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:04.670000
1776;3331;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:04.893000
1837;3330;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:05.069000
1785;3286;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:05.293000
1822;3314;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:05.469000
1831;3356;6033;8729;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:05.693000
1896;3320;6027;8692;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:05.869000
1828;3358;6061;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:06.093000
1878;3400;6016;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:06.269000
1874;3391;6017;8692;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:06.492000
nan;3394;6010;8677;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:06.668000
1874;3361;6038;8696;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:06.892000
1905;3348;6042;8705;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:07.132000
1892;3303;6056;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:07.356000
1877;3359;6025;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:07.596000
1849;3331;6060;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:07.820000
1873;3339;6040;8679;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:08.060000
