0;2500;5000;7500;10000;12500;15000;17500;20000;22500;
4155;nan;3139;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:45.158000
4204;nan;3096;5385;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:45.397000
4203;nan;3093;5253;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:45.638000
4228;nan;3090;5257;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:45.878000
4277;nan;3016;5256;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:46.101000
4277;nan;3047;5214;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:46.341000
4324;nan;3047;5197;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:46.581000
4359;nan;2985;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:46.837000
4324;nan;2993;5114;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:47.077000
4418;nan;2957;5093;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:47.317000
4392;nan;2924;5051;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:47.556000
4460;nan;2932;5054;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:47.796000
4451;nan;2938;5004;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:47.988000
4481;nan;2934;4986;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:48.228000
4475;nan;2871;4965;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:48.468000
4526;nan;2855;4918;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:48.707000
4537;nan;2878;4960;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:48.948000
4547;nan;2828;4896;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:49.140000
4607;nan;2795;4900;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:49.331000
4627;nan;2761;4859;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:49.571000
4635;nan;2787;4764;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:49.811000
4673;nan;2701;4737;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:50.051000
4726;nan;2772;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:50.291000
4698;nan;2710;4772;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:50.547000
nan;nan;2763;4728;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:50.787000
4813;nan;2749;4803;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:50.979000
4769;nan;2668;4760;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:51.218000
4813;nan;2713;4708;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:51.458000
4849;nan;nan;4551;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:51.650000
4855;3316;2682;4564;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:51.890000
4940;nan;2640;4606;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:52.130000
4927;nan;2664;4599;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:52.369000
4938;nan;2657;4594;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:52.609000
4979;nan;2648;4533;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:52.881000
4991;nan;2637;4532;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:53.105000
5049;nan;2603;4442;6527;nan;nan;nan;nan;nan;2016-03-12 10:17:53.345000
5019;nan;2571;4545;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:53.537000
nan;nan;2586;4352;6502;nan;nan;nan;nan;nan;2016-03-12 10:17:53.728000
5038;nan;2578;4469;6492;nan;nan;nan;nan;nan;2016-03-12 10:17:53.970000
nan;nan;2633;4447;6436;nan;nan;nan;nan;nan;2016-03-12 10:17:54.162000
5083;nan;2523;4415;6430;nan;nan;nan;nan;nan;2016-03-12 10:17:54.353000
5089;3668;2586;4399;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:54.593000
5164;nan;2585;4352;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:54.833000
5171;nan;2569;4417;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:55.073000
5210;3418;2447;4716;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:55.265000
5255;nan;2509;4268;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:55.505000
5283;3510;2536;4278;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:55.761000
5303;nan;2577;4124;6227;nan;nan;nan;nan;nan;2016-03-12 10:17:56
5301;nan;2472;4256;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:56.192000
5339;3843;2567;4162;6163;nan;nan;nan;nan;nan;2016-03-12 10:17:56.384000
5399;nan;2925;4133;6137;nan;nan;nan;nan;nan;2016-03-12 10:17:56.624000
5379;nan;2996;4187;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:56.864000
5398;nan;2476;4191;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:57.103000
5426;3481;2523;4105;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:57.296000
5485;3474;nan;4108;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:57.551000
5466;3539;2501;4126;6052;nan;nan;nan;nan;nan;2016-03-12 10:17:57.823000
5480;nan;2984;4016;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:58.047000
5531;nan;2563;4032;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:58.303000
5576;nan;2458;4073;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:58.559000
nan;nan;2474;nan;6005;nan;nan;nan;nan;nan;2016-03-12 10:17:58.799000
5591;nan;2458;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:59.039000
nan;nan;2452;3859;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:59.230000
5699;nan;nan;3921;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:59.486000
5700;nan;2541;3898;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:59.726000
5722;nan;2540;3913;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:59.918000
5734;nan;2362;3934;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:00.110000
5747;nan;2445;3821;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:00.350000
5755;nan;nan;3756;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:00.542000
5795;nan;2500;3792;5828;nan;nan;nan;nan;nan;2016-03-12 10:18:00.797000
5833;nan;2434;3790;5732;nan;nan;nan;nan;nan;2016-03-12 10:18:01.037000
5811;nan;nan;3773;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:01.229000
5863;nan;2527;3723;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:01.421000
5912;nan;2489;nan;5709;nan;nan;nan;nan;nan;2016-03-12 10:18:01.676000
5917;nan;3892;3821;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:01.917000
5907;nan;3317;3665;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:02.157000
5942;nan;2631;3721;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:02.348000
5938;nan;nan;3665;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:02.588000
6053;nan;nan;3634;5544;nan;nan;nan;nan;nan;2016-03-12 10:18:02.844000
6057;nan;2491;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:03.084000
6052;nan;nan;3490;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:03.276000
6104;nan;3753;3506;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:03.532000
6106;nan;2736;3470;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:03.772000
6118;nan;nan;3563;5395;nan;nan;nan;nan;nan;2016-03-12 10:18:04.027000
6156;nan;nan;3551;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:04.267000
6217;4259;3784;3463;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:04.523000
6281;nan;nan;nan;5338;nan;nan;nan;nan;nan;2016-03-12 10:18:04.779000
nan;nan;2807;3465;5305;nan;nan;nan;nan;nan;2016-03-12 10:18:05.019000
6311;nan;2631;3409;5272;nan;nan;nan;nan;nan;2016-03-12 10:18:05.211000
6299;nan;3323;3349;5309;nan;nan;nan;nan;nan;2016-03-12 10:18:05.483000
6323;nan;nan;3359;5317;nan;nan;nan;nan;nan;2016-03-12 10:18:05.706000
6371;4462;2609;3414;5269;nan;nan;nan;nan;nan;2016-03-12 10:18:05.898000
6368;nan;nan;3372;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:06.154000
6395;nan;nan;3351;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:06.394000
6447;nan;nan;3326;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:06.650000
6478;nan;2999;3335;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:06.890000
6455;nan;nan;3289;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:07.146000
6510;nan;2530;3263;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:07.401000
6515;nan;2724;3225;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:07.641000
6641;nan;3019;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:07.897000
6624;nan;2894;3179;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:08.137000
6653;nan;nan;3179;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:08.329000
6703;nan;3258;3167;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:08.521000
6771;nan;nan;3156;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:08.713000
6784;nan;nan;3122;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:08.968000
6745;nan;2774;3150;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:09.176000
6823;nan;2526;3086;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:09.416000
nan;nan;nan;3051;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:09.656000
nan;nan;2657;3077;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:09.912000
6903;nan;2983;3033;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:10.151000
6843;4855;nan;3078;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:10.343000
6967;4822;2663;3031;4850;nan;nan;nan;nan;nan;2016-03-12 10:18:10.599000
6976;nan;2685;3058;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:10.839000
7083;nan;2655;3052;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:11.095000
nan;nan;2686;2955;4670;nan;nan;nan;nan;nan;2016-03-12 10:18:11.336000
8288;nan;2752;2900;4667;nan;nan;nan;nan;nan;2016-03-12 10:18:11.544000
7154;nan;2659;2925;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:11.784000
nan;nan;2718;2937;4582;nan;nan;nan;nan;nan;2016-03-12 10:18:12.023000
8846;nan;2728;2901;4574;nan;nan;nan;nan;nan;2016-03-12 10:18:12.215000
8793;nan;2780;2889;4589;nan;nan;nan;nan;nan;2016-03-12 10:18:12.407000
9350;nan;2897;2902;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:12.663000
9385;nan;2877;2856;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:12.919000
7342;nan;2860;2864;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:13.175000
7316;nan;2760;2782;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:13.431000
7240;nan;2911;2814;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:13.671000
7268;nan;2900;2746;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:13.926000
7313;nan;2870;2810;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:14.166000
7315;nan;2842;2818;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:14.422000
7392;nan;nan;2763;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:14.662000
7461;5338;3138;2736;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:14.918000
7398;nan;2891;2702;4419;nan;nan;nan;nan;nan;2016-03-12 10:18:15.158000
7466;nan;2940;2722;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:15.350000
7479;nan;2811;2744;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:15.541000
7520;nan;3144;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:15.749000
7478;nan;3016;2729;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:15.989000
7510;nan;nan;2609;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:16.245000
7590;nan;3552;2621;4196;nan;nan;nan;nan;nan;2016-03-12 10:18:16.485000
7591;nan;3282;2633;4158;nan;nan;nan;nan;nan;2016-03-12 10:18:16.693000
7640;nan;3021;2641;4168;nan;nan;nan;nan;nan;2016-03-12 10:18:16.933000
7754;5654;nan;2655;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:17.204000
nan;5631;3084;nan;4243;nan;nan;nan;nan;nan;2016-03-12 10:18:17.460000
nan;nan;nan;2612;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:17.684000
7858;nan;nan;2580;4158;nan;nan;nan;nan;nan;2016-03-12 10:18:17.892000
7741;nan;nan;2571;4038;nan;nan;nan;nan;nan;2016-03-12 10:18:18.132000
7828;nan;4178;2570;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:18.388000
7872;nan;nan;2560;4361;nan;nan;nan;nan;nan;2016-03-12 10:18:18.643000
9756;nan;3271;3010;4082;nan;nan;nan;nan;nan;2016-03-12 10:18:18.899000
nan;nan;4126;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:19.139000
nan;nan;3715;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:19.331000
10073;nan;nan;nan;3943;nan;nan;nan;nan;nan;2016-03-12 10:18:19.587000
9991;nan;3922;2644;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:19.843000
nan;nan;nan;2562;3946;nan;nan;nan;nan;nan;2016-03-12 10:18:20.083000
nan;nan;3328;2768;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:20.322000
nan;nan;nan;2860;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:20.514000
nan;nan;nan;2709;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:20.754000
8160;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:20.962000
nan;nan;4673;2946;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:21.202000
nan;nan;3961;3524;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:21.394000
nan;nan;nan;2851;3835;nan;nan;nan;nan;nan;2016-03-12 10:18:21.650000
nan;nan;3606;nan;3872;nan;nan;nan;nan;nan;2016-03-12 10:18:21.905000
nan;nan;nan;2628;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:22.097000
nan;nan;nan;2462;4146;nan;nan;nan;nan;nan;2016-03-12 10:18:22.305000
nan;nan;nan;2417;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:22.545000
10278;5919;nan;2755;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:22.801000
nan;6020;3671;2942;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:23.041000
nan;nan;4467;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:23.233000
nan;nan;3720;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:23.425000
nan;nan;nan;2446;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:23.680000
nan;nan;nan;2485;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:23.936000
nan;nan;4073;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:24.192000
nan;nan;3853;2449;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:24.448000
nan;nan;3648;2407;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:24.688000
nan;nan;3666;2542;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:24.880000
nan;nan;3685;2718;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:25.072000
nan;nan;nan;3133;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:25.263000
nan;nan;4549;nan;3594;nan;nan;nan;nan;nan;2016-03-12 10:18:25.455000
10606;nan;4663;2579;3438;nan;nan;nan;nan;nan;2016-03-12 10:18:25.663000
nan;nan;nan;2558;3522;nan;nan;nan;nan;nan;2016-03-12 10:18:25.919000
nan;nan;5029;2595;3476;nan;nan;nan;nan;nan;2016-03-12 10:18:26.127000
10735;nan;4887;2407;3466;nan;nan;nan;nan;nan;2016-03-12 10:18:26.383000
10671;nan;nan;2602;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:26.639000
nan;nan;nan;2431;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:26.894000
10800;nan;4482;2528;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:27.102000
nan;6344;4071;2486;3388;nan;nan;nan;nan;nan;2016-03-12 10:18:27.342000
nan;6306;4566;2439;3510;nan;nan;nan;nan;nan;2016-03-12 10:18:27.598000
nan;nan;nan;2407;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:27.854000
nan;nan;4008;2471;3424;nan;nan;nan;nan;nan;2016-03-12 10:18:28.109000
nan;nan;4991;2570;3495;nan;nan;nan;nan;nan;2016-03-12 10:18:28.365000
nan;nan;4151;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:28.557000
nan;nan;4063;2409;3414;nan;nan;nan;nan;nan;2016-03-12 10:18:28.750000
nan;nan;4330;2486;3307;nan;nan;nan;nan;nan;2016-03-12 10:18:29.006000
nan;nan;4190;2504;3255;nan;nan;nan;nan;nan;2016-03-12 10:18:29.246000
9222;nan;4361;2754;3532;nan;nan;nan;nan;nan;2016-03-12 10:18:29.454000
9207;nan;4236;2999;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:29.710000
9139;nan;4424;2722;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:29.966000
nan;nan;4073;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:30.221000
9113;nan;nan;2647;3248;nan;nan;nan;nan;nan;2016-03-12 10:18:30.477000
9185;nan;4228;2572;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:30.733000
9149;nan;4199;2485;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:31.005000
nan;nan;4470;2801;3239;nan;nan;nan;nan;nan;2016-03-12 10:18:31.245000
9264;nan;nan;2548;3236;nan;nan;nan;nan;nan;2016-03-12 10:18:31.501000
9267;nan;4251;2568;3216;nan;nan;nan;nan;nan;2016-03-12 10:18:31.709000
9262;nan;4348;2532;3246;nan;nan;nan;nan;nan;2016-03-12 10:18:31.964000
9367;nan;4465;2523;3380;nan;nan;nan;nan;nan;2016-03-12 10:18:32.220000
9373;nan;nan;2827;3071;nan;nan;nan;nan;nan;2016-03-12 10:18:32.476000
9359;nan;4448;2758;3149;nan;nan;nan;nan;nan;2016-03-12 10:18:32.748000
9426;nan;4380;2660;3176;nan;nan;nan;nan;nan;2016-03-12 10:18:33.004000
nan;nan;4392;nan;2943;nan;nan;nan;nan;nan;2016-03-12 10:18:33.244000
9441;nan;4411;2843;3021;nan;nan;nan;nan;nan;2016-03-12 10:18:33.467000
nan;nan;4510;2632;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:33.707000
9524;nan;4535;2682;2948;nan;nan;nan;nan;nan;2016-03-12 10:18:33.963000
9593;nan;5298;2631;2985;nan;nan;nan;nan;nan;2016-03-12 10:18:34.171000
nan;nan;nan;nan;2951;nan;nan;nan;nan;nan;2016-03-12 10:18:34.411000
nan;nan;4564;nan;2947;nan;nan;nan;nan;nan;2016-03-12 10:18:34.667000
9735;nan;4610;2720;2933;nan;nan;nan;nan;nan;2016-03-12 10:18:34.891000
9799;nan;4517;nan;2946;nan;nan;nan;nan;nan;2016-03-12 10:18:35.130000
nan;nan;4552;2664;2783;nan;nan;nan;nan;nan;2016-03-12 10:18:35.386000
nan;nan;nan;2702;2955;nan;nan;nan;nan;nan;2016-03-12 10:18:35.642000
nan;nan;4721;2847;2859;nan;nan;nan;nan;nan;2016-03-12 10:18:35.850000
nan;nan;4650;3264;2856;nan;nan;nan;nan;nan;2016-03-12 10:18:36.106000
nan;nan;4659;2795;2955;nan;nan;nan;nan;nan;2016-03-12 10:18:36.314000
10037;nan;4702;2747;2925;nan;nan;nan;nan;nan;2016-03-12 10:18:36.521000
nan;nan;4811;2733;2757;nan;nan;nan;nan;nan;2016-03-12 10:18:36.777000
nan;nan;nan;2907;2998;nan;nan;nan;nan;nan;2016-03-12 10:18:37.017000
nan;nan;4895;2778;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:37.273000
nan;nan;nan;2820;2709;nan;nan;nan;nan;nan;2016-03-12 10:18:37.529000
nan;nan;nan;2791;2772;nan;nan;nan;nan;nan;2016-03-12 10:18:37.737000
nan;nan;4991;2802;2736;nan;nan;nan;nan;nan;2016-03-12 10:18:37.993000
nan;nan;4970;3272;2820;nan;nan;nan;nan;nan;2016-03-12 10:18:38.201000
nan;nan;nan;nan;2722;nan;nan;nan;nan;nan;2016-03-12 10:18:38.440000
nan;nan;nan;3194;2834;nan;nan;nan;nan;nan;2016-03-12 10:18:38.632000
nan;nan;nan;3015;2806;nan;nan;nan;nan;nan;2016-03-12 10:18:38.840000
10177;nan;5061;2971;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:39.096000
10196;nan;5009;3321;2707;nan;nan;nan;nan;nan;2016-03-12 10:18:39.352000
nan;nan;nan;4035;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:39.559000
nan;nan;5101;3072;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:39.816000
nan;nan;5078;nan;3093;nan;nan;nan;nan;nan;2016-03-12 10:18:40.022000
nan;nan;5100;2983;2925;nan;nan;nan;nan;nan;2016-03-12 10:18:40.199000
nan;nan;5082;3232;2763;nan;nan;nan;nan;nan;2016-03-12 10:18:40.407000
nan;nan;5072;3061;3151;nan;nan;nan;nan;nan;2016-03-12 10:18:40.647000
nan;nan;5120;3545;2603;nan;nan;nan;nan;nan;2016-03-12 10:18:40.903000
nan;nan;5143;3339;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:41.159000
nan;nan;5089;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:41.367000
nan;nan;5171;2962;2598;nan;nan;nan;nan;nan;2016-03-12 10:18:41.622000
nan;nan;5239;2996;2703;nan;nan;nan;nan;nan;2016-03-12 10:18:41.878000
nan;nan;5325;3003;2585;nan;nan;nan;nan;nan;2016-03-12 10:18:42.150000
nan;nan;5357;3145;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:42.406000
nan;nan;5399;3244;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:42.614000
nan;nan;5417;3364;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:42.886000
nan;nan;5434;3348;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:43.142000
10727;nan;5384;3278;3058;nan;nan;nan;nan;nan;2016-03-12 10:18:43.349000
10676;nan;5385;3356;2581;nan;nan;nan;nan;nan;2016-03-12 10:18:43.605000
nan;nan;5432;3168;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:43.861000
nan;nan;5509;3445;2790;nan;nan;nan;nan;nan;2016-03-12 10:18:44.116000
nan;nan;nan;3729;2548;nan;nan;nan;nan;nan;2016-03-12 10:18:44.309000
nan;nan;nan;nan;2531;nan;nan;nan;nan;nan;2016-03-12 10:18:44.501000
nan;nan;nan;3419;2478;nan;nan;nan;nan;nan;2016-03-12 10:18:44.692000
nan;nan;nan;3346;2579;nan;nan;nan;nan;nan;2016-03-12 10:18:44.900000
nan;nan;5719;3226;2508;nan;nan;nan;nan;nan;2016-03-12 10:18:45.172000
nan;nan;nan;3155;2540;nan;nan;nan;nan;nan;2016-03-12 10:18:45.412000
nan;nan;nan;3239;2530;nan;nan;nan;nan;nan;2016-03-12 10:18:45.620000
nan;nan;nan;3187;2464;nan;nan;nan;nan;nan;2016-03-12 10:18:45.828000
nan;nan;nan;3225;2431;nan;nan;nan;nan;nan;2016-03-12 10:18:46.100000
nan;nan;nan;3185;2461;nan;nan;nan;nan;nan;2016-03-12 10:18:46.356000
nan;nan;5548;3630;2493;nan;nan;nan;nan;nan;2016-03-12 10:18:46.628000
nan;nan;5503;3185;2492;nan;nan;nan;nan;nan;2016-03-12 10:18:46.868000
nan;nan;5502;nan;2496;nan;nan;nan;nan;nan;2016-03-12 10:18:47.076000
nan;nan;5532;3872;2507;nan;nan;nan;nan;nan;2016-03-12 10:18:47.332000
nan;nan;5513;nan;2511;nan;nan;nan;nan;nan;2016-03-12 10:18:47.588000
nan;nan;nan;3186;2486;nan;nan;nan;nan;nan;2016-03-12 10:18:47.779000
nan;nan;nan;3156;2459;nan;nan;nan;nan;nan;2016-03-12 10:18:47.988000
nan;nan;nan;3129;2467;nan;nan;nan;nan;nan;2016-03-12 10:18:48.243000
nan;nan;nan;nan;2446;nan;nan;nan;nan;nan;2016-03-12 10:18:48.499000
nan;nan;nan;3113;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:48.755000
nan;nan;5703;3140;2439;nan;nan;nan;nan;nan;2016-03-12 10:18:48.963000
nan;nan;5667;3111;2438;nan;nan;nan;nan;nan;2016-03-12 10:18:49.219000
nan;nan;6020;3138;2419;nan;nan;nan;nan;nan;2016-03-12 10:18:49.475000
nan;nan;nan;3151;2445;nan;nan;nan;nan;nan;2016-03-12 10:18:49.730000
nan;nan;nan;3191;2429;nan;nan;nan;nan;nan;2016-03-12 10:18:49.938000
10738;nan;nan;3213;2426;nan;nan;nan;nan;nan;2016-03-12 10:18:50.210000
nan;nan;nan;3208;2416;nan;nan;nan;nan;nan;2016-03-12 10:18:50.466000
nan;nan;nan;3230;2455;nan;nan;nan;nan;nan;2016-03-12 10:18:50.722000
10763;nan;nan;3204;2413;nan;nan;nan;nan;nan;2016-03-12 10:18:50.929000
nan;nan;nan;3193;2448;nan;nan;nan;nan;nan;2016-03-12 10:18:51.186000
nan;nan;nan;3236;2469;nan;nan;nan;nan;nan;2016-03-12 10:18:51.441000
nan;nan;nan;3230;2453;nan;nan;nan;nan;nan;2016-03-12 10:18:51.649000
10767;nan;nan;3213;2421;nan;nan;nan;nan;nan;2016-03-12 10:18:51.857000
nan;nan;nan;3186;2423;nan;nan;nan;nan;nan;2016-03-12 10:18:52.113000
nan;nan;nan;3204;nan;nan;nan;nan;nan;nan;2016-03-12 10:18:52.369000
nan;nan;5727;3225;2421;nan;nan;nan;nan;nan;2016-03-12 10:18:52.577000
nan;nan;nan;3174;2430;nan;nan;nan;nan;nan;2016-03-12 10:18:52.832000
nan;nan;nan;3222;2417;nan;nan;nan;nan;nan;2016-03-12 10:18:53.088000
nan;nan;nan;3203;2424;nan;nan;nan;nan;nan;2016-03-12 10:18:53.296000
nan;nan;nan;3215;2398;nan;nan;nan;nan;nan;2016-03-12 10:18:53.520000
nan;nan;nan;3202;2463;nan;nan;nan;nan;nan;2016-03-12 10:18:53.728000
nan;nan;nan;3185;2443;nan;nan;nan;nan;nan;2016-03-12 10:18:53.984000
nan;nan;nan;3174;2455;nan;nan;nan;nan;nan;2016-03-12 10:18:54.192000
nan;nan;nan;3199;2438;nan;
