0;5000;10000;15000;20000;25000;30000;35000;40000;45000;
1734;6345;11411;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:23.210000
1777;6318;11398;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:23.434000
1773;6314;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:23.609000
1747;nan;11394;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:23.849000
1794;nan;11357;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:24.073000
1799;6493;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:24.297000
1850;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:24.521000
1825;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:24.745000
1914;nan;11226;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:24.921000
1807;nan;11253;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:25.145000
1841;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:25.369000
1827;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:25.544000
1798;nan;11235;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:25.768000
1898;nan;11162;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:25.992000
1877;nan;11111;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:26.216000
1863;nan;11114;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:26.409000
1885;6165;11060;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:26.633000
1896;nan;11023;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:26.857000
1932;nan;11070;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:27.080000
1922;nan;11052;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:27.304000
1942;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:27.528000
1901;nan;11066;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:27.752000
1942;nan;10968;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:27.928000
1983;nan;11002;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:28.151000
1986;nan;10973;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:28.376000
1994;nan;10972;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:28.552000
2007;nan;10909;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:28.776000
1948;nan;10878;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:28.999000
2008;nan;10885;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:29.175000
1996;nan;10892;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:29.399000
1975;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:29.623000
2018;nan;10854;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:29.799000
2015;nan;10821;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:30.023000
2031;nan;10776;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:30.262000
2072;nan;10728;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:30.486000
1997;nan;10744;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:30.710000
2054;nan;10727;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:30.886000
2016;6164;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:31.110000
2050;6163;10676;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:31.333000
2078;nan;10632;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:31.509000
2022;nan;10617;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:31.733000
2011;nan;10617;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:31.909000
2071;5967;10597;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:32.133000
2024;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:32.373000
2086;nan;10549;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:32.597000
2020;nan;10557;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:32.821000
