0;5000;10000;15000;20000;25000;30000;35000;40000;45000;
nan;2529;6410;11002;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:14.045000
5153;2571;6366;11043;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:14.237000
nan;2497;6383;11042;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:14.477000
5198;2485;6294;10959;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:14.717000
5264;2528;6362;10992;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:14.909000
5325;2906;6331;10904;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:15.149000
5371;nan;6260;10918;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:15.389000
nan;2603;6270;10824;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:15.628000
5357;2547;6261;10840;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:15.820000
5335;2562;6246;10809;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:16.060000
5453;2587;6226;10792;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:16.300000
5391;2560;6181;10775;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:16.492000
5339;2549;6158;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:16.732000
5457;nan;6134;10766;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:16.987000
5514;2908;6118;10741;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:17.227000
nan;3107;6116;10685;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:17.467000
5598;nan;6081;10722;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:17.659000
5516;2587;6022;10681;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:17.899000
5581;2465;6053;10662;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:18.155000
5539;2524;6010;10589;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:18.395000
5530;2485;5971;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:18.634000
5613;nan;5962;10515;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:18.891000
5673;2699;5910;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:19.131000
5662;2449;5847;10432;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:19.387000
5699;nan;5882;10397;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:19.627000
5779;2513;nan;10433;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:19.883000
nan;nan;5854;10455;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:20.139000
5805;nan;5875;10421;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:20.378000
5805;2566;nan;10399;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:20.618000
5830;nan;5757;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:20.810000
5879;nan;5745;10352;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:21.050000
5921;2640;5733;10215;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:21.306000
5914;2552;5696;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:21.546000
5887;2589;5693;10437;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:21.785000
5970;2832;5656;10227;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:21.978000
5894;2434;5649;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:22.217000
5930;2448;5622;10208;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:22.409000
5946;nan;5604;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:22.649000
nan;2572;5548;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:22.890000
6042;2493;5558;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:23.081000
6098;2426;5512;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:23.337000
6103;2804;5462;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:23.576000
nan;2478;5479;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:23.816000
6120;2404;5470;10170;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:24.008000
6158;2516;5417;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:24.248000
6154;2736;5430;10282;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:24.439000
6244;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:24.679000
6286;nan;5395;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:24.872000
nan;nan;5360;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:25.112000
6353;3407;5370;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:25.303000
nan;nan;5338;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:25.543000
nan;nan;5311;10292;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:25.735000
6319;2574;5279;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:25.991000
6465;nan;5256;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:26.247000
6387;2639;5231;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:26.503000
6406;2479;5230;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:26.743000
nan;2445;5199;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:26.982000
6427;2587;5138;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:27.238000
nan;nan;5167;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:27.478000
6461;nan;5093;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:27.670000
6538;nan;5095;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:27.926000
6533;2681;5124;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:28.166000
6519;2541;5057;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:28.421000
6579;nan;5078;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:28.661000
nan;nan;5015;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:28.917000
6662;2576;5018;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:29.173000
6690;2734;4956;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:29.413000
7054;2558;4922;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:29.669000
nan;nan;4932;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:29.909000
nan;2550;4909;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:30.101000
nan;nan;4886;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:30.356000
nan;2514;4906;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:30.596000
nan;3181;4828;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:30.852000
6978;2729;4802;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:31.108000
6892;nan;4811;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:31.348000
6945;2572;4735;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:31.604000
6956;2594;4749;9423;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:31.859000
nan;2651;4713;9340;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:32.099000
nan;2697;4727;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:32.355000
nan;nan;4703;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:32.595000
nan;2719;4685;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:32.787000
nan;2686;4661;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:33.027000
nan;2644;4639;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:33.219000
nan;2737;4612;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:33.474000
nan;2733;4630;9211;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:33.714000
nan;2868;4644;9185;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:33.906000
nan;2793;4567;9191;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:34.146000
nan;2822;4579;9245;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:34.337000
nan;2857;4488;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:34.594000
9325;2733;4481;9024;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:34.850000
8574;2769;nan;9025;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:35.090000
nan;2711;4504;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:35.345000
7347;2850;4464;8903;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:35.601000
7293;2801;4467;8932;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:35.841000
nan;2820;4533;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:36.033000
nan;2819;4462;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:36.290000
7414;2856;4511;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:36.545000
7412;2883;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:36.785000
7469;2832;nan;9034;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:36.977000
7428;2843;4384;8965;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:37.169000
7485;2832;4278;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:37.425000
nan;2955;4254;8688;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:37.665000
7558;2893;4231;8670;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:37.857000
7545;2946;4201;8666;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:38.048000
7570;nan;4195;8606;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:38.304000
nan;2888;4137;8567;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:38.544000
nan;2998;4123;8576;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:38.736000
nan;2961;4165;8600;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:38.928000
7745;2989;4124;8537;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:39.183000
nan;2953;4109;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:39.423000
nan;2979;4059;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:39.616000
nan;3102;4046;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:39.871000
7787;3011;4045;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:40.127000
7774;nan;4028;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:40.367000
7906;nan;4026;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:40.559000
nan;nan;4014;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:40.751000
7903;3162;3991;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:40.943000
nan;3210;3997;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:41.135000
nan;nan;3945;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:41.327000
9545;3732;3913;8374;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:41.518000
nan;nan;3921;8359;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:41.774000
8152;3246;3903;8301;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:42.030000
nan;3272;3881;8265;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:42.286000
nan;nan;3839;8214;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:42.526000
10037;nan;3828;8197;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:42.718000
nan;nan;3835;8150;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:42.909000
nan;nan;3810;8104;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:43.101000
nan;nan;3834;8139;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:43.357000
nan;nan;3769;8141;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:43.613000
nan;nan;3772;8132;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:43.853000
8155;nan;3762;8080;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:44.044000
nan;nan;3734;8088;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:44.253000
nan;nan;3702;8074;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:44.445000
nan;nan;3714;8098;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:44.637000
nan;nan;3715;8078;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:44.828000
nan;nan;3688;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:45.020000
nan;nan;3717;8030;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:45.212000
nan;nan;3717;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:45.406000
nan;nan;3705;7935;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:45.596000
nan;nan;3559;7997;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:45.852000
nan;nan;3583;7835;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:46.108000
nan;nan;3651;7880;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:46.379000
nan;nan;3679;7909;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:46.619000
nan;nan;3665;7812;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:46.875000
nan;nan;3565;7804;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:47.115000
nan;nan;3606;7830;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:47.307000
nan;nan;3516;7744;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:47.499000
nan;nan;3387;7713;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:47.691000
nan;nan;3433;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:47.883000
nan;nan;3404;7714;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:48.091000
nan;nan;3377;7786;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:48.330000
nan;4428;3499;7684;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:48.522000
nan;nan;3427;7606;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:48.714000
nan;nan;3376;7575;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:48.906000
nan;nan;3390;7544;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:49.098000
nan;nan;3363;7535;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:49.306000
nan;nan;3330;7558;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:49.562000
nan;nan;3307;7507;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:49.802000
nan;4990;3348;7456;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:49.993000
nan;nan;3332;7483;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:50.185000
10892;nan;3322;7448;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:50.393000
nan;nan;3409;7524;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:50.633000
nan;nan;3231;7510;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:50.827000
nan;4224;3269;7366;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:51.017000
nan;nan;3238;7367;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:51.209000
nan;nan;3160;7713;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:51.401000
nan;nan;3132;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:51.592000
nan;nan;3248;7356;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:51.784000
nan;nan;3353;7281;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:51.976000
nan;nan;3226;7357;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:52.168000
nan;nan;3195;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:52.360000
nan;nan;3179;7371;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:52.552000
nan;nan;3258;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:52.744000
nan;nan;3020;7211;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:52.936000
nan;nan;3081;7340;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:53.127000
nan;nan;3075;7336;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:53.319000
nan;nan;3098;7202;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:53.512000
nan;nan;3038;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:53.703000
nan;nan;2987;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:53.960000
nan;nan;3061;7334;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:54.152000
nan;nan;2957;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:54.344000
nan;nan;3038;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:54.536000
nan;nan;3030;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:54.727000
nan;nan;2924;7542;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:54.919000
nan;nan;2983;7311;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:55.111000
nan;nan;2986;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:55.303000
nan;nan;2943;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:55.495000
nan;nan;3053;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:55.687000
nan;nan;2929;8070;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:55.878000
nan;5494;3138;7342;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:56.071000
9405;nan;nan;7441;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:56.278000
nan;nan;3090;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:56.534000
9392;nan;3021;7224;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:56.790000
nan;nan;2935;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:57.046000
nan;nan;2983;7332;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:57.302000
9515;nan;3414;7412;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:57.509000
nan;nan;2982;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:57.765000
9475;nan;nan;6828;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:58.021000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:58.277000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:58.469000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:58.677000
9692;nan;2887;7448;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:58.933000
nan;nan;2923;7341;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:59.125000
nan;nan;2777;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:59.317000
nan;nan;2846;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:59.524000
nan;nan;2839;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:59.780000
nan;nan;2816;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:00.036000
nan;nan;2697;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:00.292000
nan;nan;2900;7283;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:00.484000
nan;nan;2839;6555;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:00.676000
nan;nan;2742;6600;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:00.884000
nan;nan;2729;6444;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:01.139000
nan;nan;2650;6511;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:01.395000
nan;nan;2746;6509;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:01.603000
nan;nan;2678;6447;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:01.859000
nan;nan;2664;6426;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:02.115000
nan;nan;2694;6391;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:02.307000
nan;nan;2714;6357;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:02.515000
nan;nan;2697;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:02.771000
nan;nan;2752;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:03.026000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:03.234000
nan;nan;3152;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:03.490000
nan;nan;2946;6321;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:03.746000
nan;nan;nan;6233;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:03.954000
nan;nan;nan;6500;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:04.210000
nan;nan;2618;6619;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:04.466000
nan;nan;2545;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:04.721000
nan;nan;2604;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:04.913000
nan;nan;2548;6587;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:05.105000
nan;nan;2518;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:05.297000
nan;nan;2527;6491;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:05.505000
nan;nan;2467;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:05.761000
nan;nan;2539;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:05.968000
nan;nan;2709;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:06.224000
nan;nan;3071;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:06.480000
nan;5133;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:06.672000
nan;5188;3447;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:06.879000
nan;5253;2843;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:07.136000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:07.343000
nan;5228;nan;5869;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:07.599000
nan;nan;2990;5823;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:07.808000
nan;nan;nan;5820;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:08.063000
10522;nan;nan;5806;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:08.271000
nan;nan;2838;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:08.527000
nan;nan;2457;5793;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:08.735000
nan;nan;2465;5797;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:08.991000
nan;nan;2502;5786;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:09.198000
nan;nan;2429;5791;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:09.454000
nan;nan;2406;5729;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:09.662000
nan;nan;2453;5722;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:09.918000
nan;nan;2380;5806;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:10.174000
nan;nan;2466;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:10.382000
10874;nan;2436;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:10.654000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:10.909000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:11.165000
nan;nan;2512;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:11.374000
nan;nan;nan;5672;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:11.630000
nan;nan;2555;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:11.902000
nan;nan;2478;6076;10090;nan;nan;nan;nan;nan;2016-03-12 11:02:12.158000
nan;nan;2502;6162;10089;nan;nan;nan;nan;nan;2016-03-12 11:02:12.414000
nan;nan;2466;5567;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:12.669000
nan;nan;2484;5548;10035;nan;nan;nan;nan;nan;2016-03-12 11:02:12.861000
nan;nan;2427;nan;10018;nan;nan;nan;nan;nan;2016-03-12 11:02:13.053000
nan;nan;2372;5534;10004;nan;nan;nan;nan;nan;2016-03-12 11:02:13.261000
nan;nan;2491;5625;9979;nan;nan;nan;nan;nan;2016-03-12 11:02:13.533000
nan;nan;2882;5485;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:13.789000
nan;nan;2500;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:13.997000
nan;nan;2413;5402;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:14.252000
nan;nan;2436;5378;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:14.476000
nan;nan;nan;5430;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:14.716000
nan;nan;2609;5284;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:14.924000
nan;nan;2472;5244;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:15.180000
nan;nan;2483;5216;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:15.388000
nan;nan;2457;5270;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:15.596000
nan;nan;2391;5243;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:15.867000
nan;nan;2461;5225;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:16.123000
nan;nan;2520;5143;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:16.331000
nan;nan;2462;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:16.587000
nan;nan;2472;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:16.795000
nan;nan;2540;6350;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:17.051000
nan;nan;2502;5262;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:17.259000
nan;nan;2436;5174;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:17.515000
nan;nan;2608;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:17.722000
nan;nan;2390;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:17.978000
nan;nan;2462;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:18.170000
nan;nan;2412;5939;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:18.394000
nan;nan;2427;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:18.650000
nan;nan;2441;5232;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:18.906000
nan;nan;2404;5036;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:19.114000
nan;nan;2914;4913;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:19.321000
nan;nan;2596;4922;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:19.577000
nan;nan;2512;4917;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:19.785000
nan;nan;2567;4823;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:20.057000
nan;nan;2586;5150;9371;nan;nan;nan;nan;nan;2016-03-12 11:02:20.313000
nan;nan;2581;nan;9333;nan;nan;nan;nan;nan;2016-03-12 11:02:20.521000
nan;nan;2655;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:20.728000
nan;nan;2631;4865;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:21
nan;nan;2479;4677;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:21.272000
nan;nan;2575;4743;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:21.528000
nan;nan;2630;4721;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:21.736000
nan;nan;2687;4635;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:21.943000
nan;nan;2706;4670;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:22.152000
nan;nan;2678;4689;nan;nan;nan;nan;nan;nan;2016-03-12 11:02:22.360000
