2217;nan;3119;14532;2016-04-06 20:00:35.556000
2175;7547;nan;14621;2016-04-06 20:00:35.625000
2146;nan;3126;14661;2016-04-06 20:00:35.710000
2242;nan;3212;14591;2016-04-06 20:00:35.772000
2095;8068;4039;14578;2016-04-06 20:00:35.840000
2261;nan;3261;14513;2016-04-06 20:00:35.893000
2149;nan;3031;14499;2016-04-06 20:00:35.956000
2583;nan;2920;14487;2016-04-06 20:00:36.024000
2097;nan;2837;14525;2016-04-06 20:00:36.093000
2191;nan;2904;14548;2016-04-06 20:00:36.171000
2301;7635;2891;14540;2016-04-06 20:00:36.240000
2224;nan;3014;14489;2016-04-06 20:00:36.293000
2608;7555;3062;14539;2016-04-06 20:00:36.356000
nan;7653;3136;14509;2016-04-06 20:00:36.424000
2196;nan;3072;14523;2016-04-06 20:00:36.493000
2225;nan;2953;14512;2016-04-06 20:00:36.556000
2258;nan;2901;nan;2016-04-06 20:00:36.609000
2319;nan;2915;14522;2016-04-06 20:00:36.688000
2211;7795;2956;14299;2016-04-06 20:00:36.755000
2573;nan;2846;14399;2016-04-06 20:00:36.825000
2513;7568;2996;14443;2016-04-06 20:00:36.893000
2615;nan;nan;14541;2016-04-06 20:00:36.956000
2586;nan;2979;14452;2016-04-06 20:00:37.024000
2322;7753;2959;14497;2016-04-06 20:00:37.088000
2228;nan;2901;14459;2016-04-06 20:00:37.140000
2262;nan;2841;14435;2016-04-06 20:00:37.209000
2349;nan;2841;14522;2016-04-06 20:00:37.271000
2262;7543;2952;14526;2016-04-06 20:00:37.340000
2224;7688;2979;14441;2016-04-06 20:00:37.393000
2682;7836;2880;14362;2016-04-06 20:00:37.471000
2167;nan;2873;14338;2016-04-06 20:00:37.524000
2258;nan;2846;14289;2016-04-06 20:00:37.593000
2298;nan;2917;14366;2016-04-06 20:00:37.656000
2411;7627;2847;14313;2016-04-06 20:00:37.724000
2435;7693;2819;14298;2016-04-06 20:00:37.792000
2284;nan;2854;14358;2016-04-06 20:00:37.841000
2705;nan;2811;nan;2016-04-06 20:00:37.909000
nan;7305;2861;14270;2016-04-06 20:00:37.972000
2807;7178;2801;nan;2016-04-06 20:00:38.040000
2447;7214;2836;14311;2016-04-06 20:00:38.109000
2521;7221;2856;14262;2016-04-06 20:00:38.171000
3490;7252;2822;14285;2016-04-06 20:00:38.224000
2602;7150;2754;14231;2016-04-06 20:00:38.293000
2709;7210;2769;14259;2016-04-06 20:00:38.356000
2476;7723;2772;14248;2016-04-06 20:00:38.425000
2383;nan;2828;14192;2016-04-06 20:00:38.494000
2545;7588;2715;14279;2016-04-06 20:00:38.572000
2500;nan;2775;14151;2016-04-06 20:00:38.625000
2656;nan;2815;14080;2016-04-06 20:00:38.693000
2244;7269;2795;14146;2016-04-06 20:00:38.756000
2395;7209;2779;nan;2016-04-06 20:00:38.824000
2455;nan;2790;14172;2016-04-06 20:00:38.893000
2247;nan;2767;14195;2016-04-06 20:00:38.956000
2514;nan;2752;14199;2016-04-06 20:00:39.009000
2579;nan;2715;14193;2016-04-06 20:00:39.087000
2655;7736;2778;14215;2016-04-06 20:00:39.140000
2601;nan;2747;14172;2016-04-06 20:00:39.208000
2701;nan;2788;nan;2016-04-06 20:00:39.271000
3165;nan;2709;14109;2016-04-06 20:00:39.340000
3147;7748;2746;14073;2016-04-06 20:00:39.393000
nan;nan;2687;13990;2016-04-06 20:00:39.471000
2580;7548;2705;nan;2016-04-06 20:00:39.525000
2591;nan;2759;14050;2016-04-06 20:00:39.593000
2526;nan;2662;14133;2016-04-06 20:00:39.656000
2459;nan;2742;14114;2016-04-06 20:00:39.724000
2536;nan;2792;14073;2016-04-06 20:00:39.791000
2553;7265;2761;13935;2016-04-06 20:00:39.839000
2646;7287;2764;14022;2016-04-06 20:00:39.908000
2505;nan;2654;14064;2016-04-06 20:00:39.971000
2557;nan;2641;14054;2016-04-06 20:00:40.040000
2536;7070;2751;nan;2016-04-06 20:00:40.109000
2635;7077;2669;14015;2016-04-06 20:00:40.191000
2764;nan;2735;13978;2016-04-06 20:00:40.240000
2779;nan;2702;13929;2016-04-06 20:00:40.309000
2882;nan;2602;13901;2016-04-06 20:00:40.372000
nan;nan;2658;13924;2016-04-06 20:00:40.441000
nan;7429;2751;13931;2016-04-06 20:00:40.510000
2777;7357;2738;13914;2016-04-06 20:00:40.573000
2830;nan;2668;14000;2016-04-06 20:00:40.626000
2775;nan;2660;13967;2016-04-06 20:00:40.694000
2787;7624;2662;13946;2016-04-06 20:00:40.757000
nan;7532;2621;13967;2016-04-06 20:00:40.825000
2745;nan;2708;nan;2016-04-06 20:00:40.894000
2654;7165;2729;13897;2016-04-06 20:00:40.956000
2561;7132;2671;13881;2016-04-06 20:00:41.009000
2554;7170;2635;nan;2016-04-06 20:00:41.072000
2961;7200;2673;nan;2016-04-06 20:00:41.141000
2795;7106;2712;13804;2016-04-06 20:00:41.210000
2758;7098;2632;13856;2016-04-06 20:00:41.272000
2802;7023;2700;13853;2016-04-06 20:00:41.341000
2801;nan;2596;13857;2016-04-06 20:00:41.394000
2761;nan;2717;13901;2016-04-06 20:00:41.456000
3052;nan;2665;13822;2016-04-06 20:00:41.525000
3255;nan;2669;13850;2016-04-06 20:00:41.596000
2650;nan;2603;nan;2016-04-06 20:00:41.658000
3079;7418;2650;13817;2016-04-06 20:00:41.726000
2846;nan;2655;13812;2016-04-06 20:00:41.790000
2795;nan;2591;13825;2016-04-06 20:00:41.841000
2827;nan;2677;13863;2016-04-06 20:00:41.910000
2816;nan;2594;13811;2016-04-06 20:00:41.973000
nan;nan;2603;13883;2016-04-06 20:00:42.041000
2928;nan;nan;13904;2016-04-06 20:00:42.095000
3097;6692;2637;13857;2016-04-06 20:00:42.173000
3152;7082;2580;13858;2016-04-06 20:00:42.226000
2963;nan;2632;13814;2016-04-06 20:00:42.294000
2970;6721;2540;13832;2016-04-06 20:00:42.357000
2965;6745;2609;nan;2016-04-06 20:00:42.425000
2860;nan;2582;13730;2016-04-06 20:00:42.493000
nan;7871;2524;13831;2016-04-06 20:00:42.557000
3200;nan;2545;nan;2016-04-06 20:00:42.610000
3152;nan;2520;13746;2016-04-06 20:00:42.673000
3253;6985;2655;13821;2016-04-06 20:00:42.741000
3212;6986;2613;13719;2016-04-06 20:00:42.810000
2888;6860;2623;13704;2016-04-06 20:00:42.873000
3036;6900;nan;13745;2016-04-06 20:00:42.941000
3020;6767;2528;13711;2016-04-06 20:00:43.003000
2893;nan;2609;13679;2016-04-06 20:00:43.062000
2972;6775;2699;13623;2016-04-06 20:00:43.126000
3185;6769;2619;13653;2016-04-06 20:00:43.195000
3263;6678;2576;13763;2016-04-06 20:00:43.257000
3246;6757;2591;13707;2016-04-06 20:00:43.310000
3765;nan;2563;13651;2016-04-06 20:00:43.389000
3150;6716;2605;13630;2016-04-06 20:00:43.442000
2989;nan;2630;13631;2016-04-06 20:00:43.511000
3104;nan;2650;13615;2016-04-06 20:00:43.573000
3048;nan;2655;13540;2016-04-06 20:00:43.642000
3112;nan;2599;13626;2016-04-06 20:00:43.694000
3057;7187;2664;13656;2016-04-06 20:00:43.773000
3332;nan;2623;13571;2016-04-06 20:00:43.826000
3317;nan;2577;nan;2016-04-06 20:00:43.894000
3321;nan;2628;13625;2016-04-06 20:00:43.957000
3291;6886;2562;nan;2016-04-06 20:00:44.026000
3317;6734;2627;nan;2016-04-06 20:00:44.092000
3302;6819;2600;13893;2016-04-06 20:00:44.173000
3284;6630;2557;13787;2016-04-06 20:00:44.226000
3131;6612;2622;nan;2016-04-06 20:00:44.294000
3090;6582;2601;nan;2016-04-06 20:00:44.357000
nan;nan;nan;nan;2016-04-06 20:00:44.426000
nan;6519;2595;13931;2016-04-06 20:00:44.492000
3318;6470;2614;nan;2016-04-06 20:00:44.542000
3130;6475;2611;13643;2016-04-06 20:00:44.610000
nan;6458;2551;nan;2016-04-06 20:00:44.673000
3390;6458;2601;13453;2016-04-06 20:00:44.742000
3455;6502;2581;13467;2016-04-06 20:00:44.810000
3222;nan;2556;13832;2016-04-06 20:00:44.873000
3295;nan;2548;13926;2016-04-06 20:00:44.926000
3168;nan;2634;13739;2016-04-06 20:00:44.995000
3362;nan;2554;nan;2016-04-06 20:00:45.057000
3413;6395;2532;13586;2016-04-06 20:00:45.127000
3363;6527;2587;13878;2016-04-06 20:00:45.196000
3470;nan;2528;13435;2016-04-06 20:00:45.258000
3504;nan;2500;13446;2016-04-06 20:00:45.311000
3546;6372;2582;13442;2016-04-06 20:00:45.373000
3655;6413;2483;13384;2016-04-06 20:00:45.442000
3650;nan;2524;13507;2016-04-06 20:00:45.511000
3636;nan;2541;13429;2016-04-06 20:00:45.574000
3604;nan;2486;13420;2016-04-06 20:00:45.642000
3652;6993;2599;13432;2016-04-06 20:00:45.695000
3587;nan;2573;13376;2016-04-06 20:00:45.758000
3505;nan;2480;13437;2016-04-06 20:00:45.827000
3434;6495;2545;13423;2016-04-06 20:00:45.895000
3426;nan;2582;nan;2016-04-06 20:00:45.958000
3442;6330;2540;13389;2016-04-06 20:00:46.027000
3516;6316;2478;13397;2016-04-06 20:00:46.091000
3544;6323;2493;13316;2016-04-06 20:00:46.143000
nan;6278;2596;13266;2016-04-06 20:00:46.211000
3592;6311;2482;13363;2016-04-06 20:00:46.274000
3636;6317;2456;13401;2016-04-06 20:00:46.342000
3578;nan;2532;13360;2016-04-06 20:00:46.411000
3757;6319;2564;13406;2016-04-06 20:00:46.473000
3775;6371;2603;13349;2016-04-06 20:00:46.526000
nan;6482;2593;13392;2016-04-06 20:00:46.595000
3664;6482;2535;13380;2016-04-06 20:00:46.658000
3634;6423;nan;13283;2016-04-06 20:00:46.726000
3651;6335;2509;13160;2016-04-06 20:00:46.795000
3544;nan;2567;13269;2016-04-06 20:00:46.858000
3644;nan;2585;13165;2016-04-06 20:00:46.911000
3644;nan;2564;13126;2016-04-06 20:00:46.973000
3639;6405;2514;13156;2016-04-06 20:00:47.042000
3697;nan;2532;13207;2016-04-06 20:00:47.111000
3591;nan;2614;13147;2016-04-06 20:00:47.173000
3689;nan;2573;13190;2016-04-06 20:00:47.242000
3724;nan;2510;13230;2016-04-06 20:00:47.295000
nan;nan;2588;13227;2016-04-06 20:00:47.357000
3746;nan;2600;nan;2016-04-06 20:00:47.426000
