nan;nan;nan;316;
nan;nan;2547;276;
nan;nan;2893;234;
nan;nan;nan;285;
5537;3286;nan;271;
5539;3391;2455;242;
nan;nan;2806;263;
5491;nan;3205;254;
nan;3340;3602;246;
5461;3198;3886;229;
5461;3188;nan;211;
5417;3209;nan;292;
nan;nan;nan;226;
5432;3124;nan;302;
5372;3081;nan;272;
nan;nan;nan;246;
5345;2998;2136;296;
nan;2979;2144;271;
5327;3011;2095;317;
5312;3015;2153;299;
5303;2938;2473;377;
5326;2923;2531;415;
nan;2898;2269;410;
nan;2868;nan;380;
nan;2921;nan;458;
nan;2836;2009;nan;
nan;2840;1964;605;
5148;2816;nan;508;
5129;2751;nan;537;
5100;2784;1764;648;
nan;2769;nan;525;
nan;2674;1822;734;
5027;2671;1739;588;
5033;2708;1796;nan;
nan;nan;1781;2026;
4972;2577;1906;nan;
4943;2571;1961;2274;
4982;2616;2257;2854;
nan;2585;2053;nan;
5010;2548;1858;nan;
nan;2508;1635;1016;
4883;2545;nan;2503;
nan;2449;1566;2531;
nan;2439;1608;2666;
5183;2444;1570;nan;
nan;2431;1515;nan;
nan;2374;1763;2444;
nan;2398;nan;2440;
nan;2357;1918;nan;
nan;2362;nan;2596;
nan;nan;1990;nan;
nan;2312;2471;nan;
nan;2262;nan;nan;
nan;2310;nan;nan;
nan;2261;nan;2699;
nan;2221;nan;nan;
nan;2284;3393;2673;
4570;2226;nan;nan;
4487;2257;nan;nan;
4467;2189;nan;nan;
4431;2134;nan;1840;
4482;2120;nan;nan;
4403;2157;nan;2811;
4420;2219;1403;1353;
4355;2074;1236;nan;
nan;2001;1258;2738;
4366;1974;1199;2779;
4334;2058;1117;2760;
4262;nan;1298;2691;
4254;1935;nan;2688;
4182;nan;1489;1983;
4183;2010;nan;2498;
4240;1887;1612;2728;
4193;nan;1602;2525;
4179;1945;1724;2815;
4149;1876;2404;1474;
4128;1830;nan;1415;
4109;1800;nan;nan;
4076;1707;1212;1467;
4099;1698;1016;3064;
4066;1732;nan;2517;
4016;1654;nan;nan;
4004;1670;934;1693;
4011;1709;934;2892;
3945;1703;922;3057;
3932;1599;993;nan;
3918;1932;1052;nan;
3965;nan;nan;3180;
3916;1588;849;3266;
3891;nan;843;3112;
3860;1483;803;nan;
nan;nan;839;3002;
3839;1434;842;2978;
3789;1407;871;nan;
3767;1311;867;nan;
3772;1327;732;3213;
3675;1311;746;2961;
nan;1328;834;nan;
3671;1325;nan;nan;
nan;1368;nan;nan;
3623;2186;656;nan;
3636;1439;667;3220;
nan;1233;724;3209;
nan;1278;nan;3245;
nan;1253;761;2841;
nan;nan;750;nan;
nan;nan;712;3295;
nan;1137;672;3421;
nan;1156;725;3432;
nan;1380;587;nan;
nan;nan;606;nan;
nan;1129;513;nan;
nan;1039;515;nan;
nan;nan;570;nan;
nan;nan;515;nan;
nan;1027;524;3474;
3408;973;550;nan;
3351;894;578;nan;
nan;nan;642;nan;
nan;952;628;nan;
