=0,000037,-45
=0,000015,-35
=0,000113,-43
=0,000047,-35
=0,000083,-43
=0,000031,-35
=0,000089,-43
=0,000051,-35
=0,000088,-43
=0,000061,-35
=0,000084,-43
=0,000043,-35
=0,000098,-43
=0,000000,-35
=0,000102,-43
=0,000015,-35
=0,000092,-41
=0,000024,-35
=0,000067,-43
=0,000030,-35
=0,000107,-43
=0,000048,-35
=0,000093,-41
=0,000033,-35
=0,000062,-41
=0,000021,-35
=0,000080,-43
=0,000000,-35
=0,000094,-41
=0,000047,-35
=0,000081,-43
=0,000003,-35
=0,000109,-43
=0,000000,-35
=0,000070,-43
=0,000000,-35
=0,000099,-41
=0,000020,-35
=0,000096,-43
=0,000015,-35
=0,000080,-43
=0,000025,-35
=0,000095,-41
=0,000012,-35
=0,000080,-41
=0,000000,-35
=0,000092,-43
=0,000039,-35
=0,000089,-43
=0,000028,-35
=0,000089,-41
=0,000011,-35
=0,000088,-43
=0,000034,-35
=0,000097,-43
=0,000033,-35
=0,000096,-43
=0,000002,-35
=0,000058,-43
=0,000000,-35
=0,000081,-41
=0,000021,-35
=0,000072,-43
=0,000053,-35
=0,000077,-43
=0,000015,-35
=3,000000,+127
=0,000051,-35
=0,000081,-43
=0,000006,-35
=0,000084,-43
=0,000040,-35
=0,000072,-43
=0,000000,-35
=0,000093,-43
=0,000061,-35
=0,000083,-43
=0,000015,-35
=0,000082,-43
=0,000017,-35
=0,000076,-43
=0,000002,-35
=0,000065,-43
=0,000012,-35
=0,000086,-41
=0,000052,-35
=0,000076,-43
=0,000029,-35
=0,000075,-43
=0,000022,-35
=0,000107,-43
=0,000016,-35
=0,000070,-43
=0,000014,-35
=0,000076,-43
=0,000043,-35
=0,000093,-43
=0,000015,-35
=0,000082,-41
=3,000000,+127
=0,000094,-43
=0,000002,-35
=0,000074,-43
=0,000035,-35
=0,000086,-43
=0,000000,-35
=0,000099,-43
=0,000040,-35
=0,000078,-43
=0,000033,-35
=0,000088,-41
=0,000007,-35
=0,000072,-41
=0,000014,-35
=0,000088,-43
=0,000034,-35
=0,000075,-43
=0,000024,-35
=0,000081,-43
=0,000014,-35
=0,000086,-41
=0,000033,-35
=0,000092,-43
=0,000012,-35
=0,000095,-41
=0,000039,-35
=0,000089,-43
=0,000014,-35
=0,000093,-43
=0,000033,-35
=0,000080,-39
=0,000015,-35
=0,000090,-43
=0,000025,-35
=0,000087,-43
=0,000049,-35
=0,000073,-43
=0,000033,-35
=0,000090,-43
=0,000016,-35
=0,000093,-43
=0,000009,-35
=0,000063,-43
=0,000021,-35
=0,000065,-43
=0,000026,-35
=0,000074,-43
=0,000033,-35
=0,000089,-43
=0,000019,-35
=0,000063,-43
=0,000021,-35
=0,000085,-43
=0,000014,-35
=0,000092,-43
=0,000034,-35
=0,000106,-43
=0,000023,-35
=0,000062,-43
=0,000029,-35
=0,000056,-43
=0,000032,-35
=0,000092,-43
=0,000015,-35
=0,000057,-43
=0,000037,-35
=0,000072,-43
=0,000038,-35
=0,000074,-43
=0,000016,-35
=0,000093,-43
=0,000011,-35
=0,000079,-43
=0,000035,-35
=0,000084,-45
=0,000024,-35
=3,000000,+127
=0,000014,-35
=0,000075,-43
=0,000014,-35
=0,000080,-45
=0,000003,-35
=0,000087,-43
=0,000044,-35
=0,000080,-43
=0,000010,-35
=0,000060,-43
=0,000031,-35
=0,000094,-43
=0,000016,-35
=0,000077,-43
=0,000023,-35
=0,000054,-45
=0,000033,-35
=2,000000,+127
=0,000033,-35
=0,000076,-45
=0,000035,-35
=0,000077,-43
=0,000030,-35
=0,000079,-41
=0,000019,-35
=0,000092,-43
=0,000014,-35
=0,000067,-43
=0,000007,-35
=0,000090,-43
=0,000015,-35
=0,000099,-43
=0,000024,-35
=0,000090,-43
=0,000010,-35
=0,000069,-43
=0,000022,-35
=0,000095,-41
=0,000006,-35
=0,000076,-43
=0,000026,-35
=0,000094,-43
=0,000056,-35
=0,000089,-43
=0,000031,-35
=0,000084,-45
=0,000037,-35
=0,000086,-43
=0,000014,-35
=0,000075,-43
=0,000035,-35
=0,000056,-43
=0,000035,-35
=3,000000,+127
=0,000040,-35
=0,000053,-43
=0,000035,-35
=0,000057,-43
=0,000000,-35
=0,000075,-41
=0,000030,-35
=0,000087,-45
=0,000000,-35
=0,000038,-43
=0,000038,-35
=0,000038,-45
=2,000000,+127
=0,000075,-45
=0,000020,-35
=0,000060,-43
=0,000053,-35
=0,000071,-43
=0,000014,-35
=0,000030,-43
=0,000031,-35
=0,000025,-43
=0,000025,-35
=0,000130,-45
=0,000029,-35
=0,000184,-43
=0,000061,-35
=0,000147,-43
=0,000044,-35
=0,000134,-43
=0,000010,-35
=0,000120,-41
=0,000039,-35
=0,000135,-43
=0,000008,-35
=0,000103,-43
=0,000033,-35
=0,000098,-45
=0,000021,-35
=0,000098,-45
=0,000025,-35
=0,000079,-45
=0,000049,-35
=0,000097,-43
=0,000032,-35
