nan;16213;13726;11299;7583;5842;nan;2539;155;
nan;16206;13723;11292;7598;5869;3990;2265;161;
nan;16197;13706;11251;7574;5869;3976;2404;143;
nan;16196;nan;11229;7528;5788;3949;2252;248;
nan;16109;13625;11123;7488;5782;4122;2140;243;
nan;15990;13497;11066;7402;5595;3927;1977;317;
nan;15897;13496;10938;7298;nan;3881;1927;367;
nan;15845;13361;10943;7191;5521;3890;1828;480;
nan;15780;13232;10838;7122;5429;3468;1785;470;
nan;15670;13186;10759;7160;5420;3559;1607;573;
nan;15592;13211;10693;7034;5392;3327;1667;678;
nan;15579;13117;10632;6908;5203;3165;1599;772;
nan;15546;13173;10599;7008;5257;3304;1552;739;
nan;15537;13525;10539;6843;5397;2987;1391;844;
nan;15454;13356;10463;6734;5463;3038;1403;924;
nan;15427;13018;10466;6784;5274;3007;1375;953;
nan;15381;12959;10421;6872;5723;2951;1265;1077;
nan;15355;12954;10420;6847;nan;2928;1356;1044;
nan;15381;12937;10416;6853;5585;2921;1327;1050;
nan;15414;12966;10369;6842;5361;2999;1265;916;
nan;15369;12959;10438;6862;5175;2937;1328;925;
nan;15394;12926;10440;6894;5233;2965;1270;880;
nan;15377;12989;10426;6890;5540;2944;1256;976;
nan;15370;13008;10478;6861;nan;2993;1363;867;
nan;15414;13016;10472;6729;nan;3447;1566;924;
nan;15336;12940;10369;6701;nan;3039;1273;916;
nan;15313;12826;10302;6684;5502;2984;1111;1052;
nan;15240;12740;10321;6570;nan;2976;1083;1041;
nan;15181;12736;10238;6529;nan;nan;977;1208;
nan;15183;12667;10195;6540;nan;2883;981;1267;
nan;nan;12629;10254;6435;nan;3272;1031;1213;
nan;15079;12627;10467;6614;4650;2756;938;1281;
nan;15072;12598;10456;6506;4616;2774;884;1359;
nan;15029;12587;nan;6487;4650;nan;842;1412;
nan;15035;12603;10511;6511;4603;2770;872;1344;
nan;15040;12583;10540;6505;4639;2741;908;1317;
nan;15135;12594;nan;6450;nan;2820;1046;1288;
nan;15105;12623;10382;6582;4789;2791;893;1803;
nan;14997;12564;nan;6397;4984;2724;846;1334;
nan;nan;12474;10136;6364;5365;2825;831;1338;
nan;14969;12447;9962;6338;5260;2869;794;1324;
nan;14859;12396;9925;6274;4544;2511;806;1457;
nan;14741;12287;9815;6191;4610;3239;607;1522;
nan;14684;12120;9742;6124;4382;nan;411;1608;
nan;14513;12124;9694;6084;4224;2362;234;1784;
nan;14494;12047;9618;5994;4150;2047;297;1973;
nan;14359;12086;9395;5745;4038;1950;308;2287;
nan;14335;12094;9285;6108;3958;1926;415;1992;
nan;14268;11950;9296;5741;3890;1679;451;2122;
nan;nan;11994;nan;nan;3847;1741;477;2113;
nan;nan;11936;nan;6149;3844;2061;473;2135;
nan;nan;nan;nan;6112;4285;nan;nan;2129;
nan;nan;nan;nan;6172;4192;nan;487;2113;
nan;nan;nan;nan;5535;3834;2077;476;2110;
nan;nan;12209;nan;5930;3921;1768;445;2176;
nan;14114;11733;nan;5664;3657;1793;602;2239;
nan;14018;11835;8990;5575;3623;1531;309;2306;
nan;13892;11655;9191;5560;3503;1602;337;2362;
nan;13810;11484;9109;5173;3470;1514;141;2440;
nan;13773;11326;8928;5121;3562;1675;121;2467;
nan;13714;11258;8953;5064;3394;nan;395;2553;
nan;13562;11187;9011;4954;3307;1365;381;2784;
nan;13554;11139;nan;4877;3111;1295;538;nan;
nan;13356;nan;8631;4794;3136;1323;615;3143;
nan;13260;10890;8676;4731;3001;1055;688;3110;
nan;13284;10835;8733;4663;2966;1213;806;2998;
nan;13240;10780;8604;4671;3012;888;741;2962;
nan;13236;10787;8663;4688;3065;989;734;2915;
nan;13144;10777;nan;4642;2953;990;848;3080;
nan;13146;10693;8446;4462;3021;934;957;3174;
nan;13066;10604;8348;4450;2861;902;990;3307;
nan;13126;10484;nan;4392;3966;835;1108;3466;
nan;12994;10384;nan;4281;2481;710;1210;3559;
nan;nan;10391;8368;4162;2553;743;1319;3744;
nan;nan;10333;8161;4107;2461;774;1398;3614;
nan;nan;10191;nan;4079;2425;646;1453;3918;
nan;13081;10132;8079;4013;2278;643;1557;3929;
nan;12648;10073;7785;3940;2163;569;1554;3919;
nan;12466;9978;7671;3926;1996;717;1648;nan;
nan;12360;9897;7511;4245;1876;462;1727;3980;
nan;12259;9813;7464;3765;2377;350;1754;4011;
nan;12172;9712;7259;3567;2285;486;1983;4150;
nan;12083;9611;7264;3501;1747;428;2000;4309;
nan;11897;9505;7201;3298;1551;478;2087;4523;
nan;11857;9397;7205;3183;1551;514;2228;4453;
nan;11816;9346;6825;3237;1494;662;2371;nan;
nan;11755;9332;6766;3223;1443;542;2362;4662;
nan;11709;9258;7080;3163;1439;647;2375;4830;
nan;11606;9106;6708;3007;1383;651;2328;4611;
nan;11537;9149;6844;2860;1308;648;2591;4787;
nan;11511;9006;6636;2819;1099;854;2621;4916;
nan;11347;8985;6533;2642;977;877;2767;5020;
nan;11252;9054;6430;2617;1095;950;2849;nan;
nan;11196;8839;6551;2617;970;1046;2850;5005;
nan;11162;8938;nan;2581;935;1208;2949;5351;
nan;11201;8787;6204;2506;849;1142;3024;5338;
nan;nan;8713;6258;2572;892;1188;3057;5198;
nan;11061;8692;6186;2340;861;1229;3081;5183;
nan;11019;8882;6436;2380;899;1296;3125;5251;
nan;10894;8499;6223;2297;657;1329;3170;5334;
nan;10930;8838;nan;2225;706;1379;3152;5459;
nan;10790;8324;5968;2163;520;1524;3378;5600;
nan;10676;8296;6029;2013;364;1584;3336;5659;
nan;10584;8083;5759;1897;293;1753;3451;5709;
nan;10391;8047;5732;1827;108;1886;3500;5874;
nan;10321;7799;5587;1738;112;2018;3778;5837;
nan;10132;7777;5310;1501;134;2119;3889;6131;
nan;10100;7647;5143;1439;253;2276;3986;6148;
nan;9991;7461;5042;1279;390;2384;4126;6258;
nan;9871;7961;4946;1244;440;2535;4247;6379;
nan;9724;7483;4793;1148;545;2628;4387;6569;
nan;9638;7543;4772;1040;729;2759;4538;6747;
nan;9442;7357;4626;967;843;2827;4647;6769;
nan;9353;7032;4511;920;917;2985;4729;6938;
nan;9262;6895;4385;778;1034;3071;4886;7083;
nan;9264;6803;4210;838;1183;3153;5005;7327;
nan;nan;6691;4465;798;1237;3254;4986;8279;
15605;9232;6707;4252;757;1276;3376;5243;nan;
15495;nan;6593;4169;720;1397;3426;5033;nan;
15378;9045;6487;4016;669;1493;3556;nan;nan;
15263;nan;6312;3915;620;1558;3616;5272;7660;
15151;nan;6248;3742;537;1728;3701;5463;7778;
15131;8783;6099;3657;550;1770;3830;5583;7887;
15017;8495;6089;3647;437;1863;3980;5714;7910;
nan;8348;5908;nan;511;1941;4080;5756;7913;
nan;8198;5780;3355;524;2142;4246;5973;8070;
nan;nan;5752;3289;568;2258;4253;6054;8198;
nan;8018;5575;3102;673;2351;4379;6084;8321;
nan;7899;5421;2983;nan;2429;4442;6244;8356;
nan;7716;5324;2898;752;2631;4567;6312;8477;
14240;8036;5335;2839;853;2724;4612;6449;8656;
nan;7645;5161;2681;1110;2845;4743;6504;8788;
nan;7551;5155;2487;1062;2883;4824;6607;8701;
nan;7374;4993;2545;1204;2939;4909;6716;8891;
nan;7302;4881;2339;1203;3124;4979;6798;8957;
nan;7242;4744;2325;1389;3172;5098;7000;9080;
nan;7076;4695;2164;1473;3303;5201;nan;9183;
nan;6968;4538;2548;1566;3391;5356;7118;9264;
nan;6863;4467;2032;1904;3495;5505;7232;9396;
nan;6768;4384;1935;1974;3610;5592;7288;9500;
nan;6647;4256;1882;2170;3669;5577;7428;9523;
nan;nan;4149;1763;2093;nan;5702;7386;9684;
nan;6556;4126;1726;2612;3757;5799;7502;9817;
