nan;419;92;10414;10356;20347;20393;nan;nan;
nan;426;116;10416;10373;20384;20384;nan;nan;
6245;476;56;10396;10339;20371;20372;nan;nan;
nan;385;0;10414;10304;20349;20413;nan;nan;
nan;365;85;10416;10289;20372;20411;nan;nan;
5749;408;199;10405;10234;20337;20393;nan;nan;
5723;433;143;10393;10243;20375;20370;nan;nan;
5673;432;135;10363;10231;20367;20361;nan;nan;
5750;383;140;10424;10266;20377;20365;nan;nan;
5775;463;153;10394;10286;20330;20373;nan;nan;
5828;344;131;10447;10275;20344;20330;nan;nan;
5768;422;106;10461;10239;20377;20367;nan;nan;
nan;403;35;10354;10302;nan;20358;nan;nan;
nan;389;34;10369;10277;nan;20339;nan;nan;
5638;332;42;10360;10286;nan;20376;nan;nan;
5768;384;25;10346;10300;nan;20354;nan;nan;
nan;267;67;10355;10213;20315;20333;nan;nan;
6414;183;35;10344;10236;20337;20336;nan;nan;
5911;193;23;10332;10238;20302;20313;nan;nan;
nan;295;56;10265;10141;20312;20361;nan;nan;
6062;206;44;10255;10097;20296;20343;nan;nan;
6239;222;69;10270;10173;20283;20324;nan;nan;
6232;171;71;10316;10231;20272;20329;nan;nan;
nan;171;69;10298;10156;20236;20311;nan;nan;
nan;219;40;10278;10179;20229;20298;nan;nan;
nan;121;57;10261;10140;20204;20277;nan;nan;
nan;216;44;10223;10137;20222;20221;nan;nan;
nan;237;92;10214;10119;20212;20265;nan;nan;
6143;98;96;10162;10046;20188;20259;nan;nan;
6265;186;124;10173;10062;20199;20210;nan;nan;
6070;155;104;10205;10049;20175;20215;nan;nan;
6010;188;67;10121;9994;20187;20246;nan;nan;
6014;182;85;10167;9966;20155;20172;nan;nan;
5993;143;108;10126;9980;nan;20139;nan;nan;
6036;215;113;10107;9987;20139;20148;nan;nan;
5975;147;105;10045;9987;nan;20169;nan;nan;
6060;189;112;10025;10009;nan;20096;nan;nan;
6054;187;157;10065;9945;nan;20116;nan;nan;
6084;180;235;9981;9948;nan;20065;nan;nan;
6071;235;236;9977;9949;nan;20073;nan;nan;
6075;219;214;10011;9872;nan;20046;nan;nan;
6085;222;191;9983;9861;nan;20033;nan;nan;
6123;199;180;9923;9853;nan;19955;nan;nan;
6088;263;202;9935;9857;nan;19980;nan;nan;
6258;295;234;9902;9794;nan;19929;nan;nan;
6235;268;287;9930;9803;nan;19909;nan;nan;
6260;300;307;9858;9756;nan;19882;nan;nan;
6263;317;338;9817;9776;nan;19881;nan;nan;
6346;308;350;9816;9714;nan;19882;nan;nan;
6461;372;337;9815;9666;nan;19831;nan;nan;
6514;325;341;9820;9635;nan;19824;nan;nan;
6476;369;369;9776;9597;nan;19804;nan;nan;
6592;427;431;9757;9627;19883;19760;nan;nan;
nan;419;369;9706;9623;19817;19721;nan;nan;
6454;445;427;9669;9548;nan;19731;nan;nan;
6506;454;454;9666;9594;nan;19713;nan;nan;
6496;513;488;9593;9547;nan;19659;nan;nan;
6575;488;515;9657;9455;nan;19618;nan;nan;
6583;523;540;9560;9457;19662;19615;nan;nan;
6625;580;496;9579;9506;19654;19591;nan;nan;
6630;618;602;9556;9463;19627;19539;nan;nan;
6697;643;564;9519;9403;19611;19531;nan;nan;
6689;677;595;9509;9358;19583;19498;nan;nan;
6683;725;628;9465;9331;19553;19484;nan;nan;
6728;737;633;9419;9346;19553;19440;nan;nan;
6748;744;706;9419;9299;19508;19425;nan;nan;
6775;749;826;9387;9340;19437;19397;nan;nan;
6760;740;782;9355;9252;19458;19357;nan;nan;
6670;839;773;9339;9246;19464;19320;nan;nan;
